"MAP_LABEL","GFE_ID","SYSTEM_SITE","GFE_TYPE","SPECIES_QUALIFIED","Y_LAT","X_LONGT","FAZ_ACRO","MAZ_ACRO","JAZ_ACRO","CU_NAME","CU_ACRO","CU_LAT","CU_LONGT","CU_TYPE","CU_INDEX","FULL_CU_IN","SBJ_ID","POP_ID","IS_INDICATOR","CMNTS","EFFECTIVE_DT","WATERSHED_CDE","FWA_WATERSHED_CDE","SPECIES","species_acronym_ncc","IndexId","coordinates_changed"
12,"1208","COWICHAN RIVER","Stream","PKE",48.753249,-123.636317,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,40019,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","14-AUG-13","920-257700-00000-00000-0000-0000-000-000-000-000-000-000","920-252823-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_40019",FALSE
13,"780","DESERTED RIVER","Stream","PKE",50.092756,-123.742136,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,48878,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-220600-00000-00000-0000-0000-000-000-000-000-000-000","900-223912-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_48878",FALSE
14,"1135","DREW CREEK","Stream","PKE",50.08878,-125.192366,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,52854,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","905-291000-89600-00000-0000-0000-000-000-000-000-000-000","905-405793-902265-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_52854",FALSE
15,"1184","ENGLISHMAN RIVER","Stream","PKE",49.325304,-124.291665,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,51414,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-462800-00000-00000-0000-0000-000-000-000-000-000-000","920-470275-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_51414",FALSE
16,"804","FORBES BAY CREEK","Stream","PKE",50.274641,-124.621993,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,49118,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-333800-00000-00000-0000-0000-000-000-000-000-000-000","900-336002-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_49118",FALSE
17,"1183","FRENCH CREEK","Stream","PKE",49.349016,-124.363588,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,51404,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-470700-00000-00000-0000-0000-000-000-000-000-000-000","920-479504-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_51404",FALSE
19,"773","GRAY CREEK","Stream","PKE",49.538581,-123.765595,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,48808,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-168400-00000-00000-0000-0000-000-000-000-000-000-000","900-171722-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_48808",FALSE
20,"398","HEADQUARTERS CREEK","Stream","PKE",49.767515,-125.118295,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,45851,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-553200-94100-43300-0000-0000-000-000-000-000-000-000","920-559826-990728-423365-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_45851",FALSE
21,"1201","HOLLAND CREEK","Stream","PKE",48.981093,-123.804404,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,51584,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-321500-00000-00000-0000-0000-000-000-000-000-000-000","920-322181-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_51584",FALSE
22,"1134","HYACINTHE CREEK","Stream","PKE",50.12972,-125.239264,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,52844,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","905-291000-84800-00000-0000-0000-000-000-000-000-000-000","905-405793-854178-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_52844",FALSE
23,"688","INDIAN RIVER","Stream","PKE",49.471036,-122.883105,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,49826,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-056000-00000-00000-0000-0000-000-000-000-000-000-000","900-068008-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_49826",FALSE
24,"788","JEFFERD CREEK","Stream","PKE",49.774925,-124.279332,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,48958,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-272400-00000-00000-0000-0000-000-000-000-000-000-000","900-275764-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_48958",FALSE
25,"1228","JORDAN RIVER","Stream","PKE",48.421895,-124.055185,"WVI","WVI","WVI+WVI","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,40219,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-037300-00000-00000-0000-0000-000-000-000-000-000-000","930-038943-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_40219",FALSE
26,"793","KELLY CREEK","Stream","PKE",49.773886,-124.380098,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,49008,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-278600-00000-00000-0000-0000-000-000-000-000-000-000","900-282198-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_49008",FALSE
28,"809","KLITE RIVER","Stream","PKE",50.511424,-124.329455,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,50464,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-349300-03300-00000-0000-0000-000-000-000-000-000-000","900-350660-051414-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_50464",FALSE
29,"792","LANG CREEK","Stream","PKE",49.776337,-124.370708,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,48998,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-278100-00000-00000-0000-0000-000-000-000-000-000-000","900-281581-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_48998",FALSE
30,"1181","LITTLE QUALICUM RIVER","Stream","PKE",49.365102,-124.494828,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,51384,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-481800-00000-00000-0000-0000-000-000-000-000-000-000","920-490278-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_51384",FALSE
31,"790","LOIS RIVER","Stream","PKE",49.773464,-124.330612,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,48978,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-277000-00000-00000-0000-0000-000-000-000-000-000-000","900-280522-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_48978",FALSE
32,"709","MAMQUAM RIVER","Stream","PKE",49.733443,-123.154662,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,49931,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-097600-05100-00000-0000-0000-000-000-000-000-000-000","900-105574-066486-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_49931",FALSE
33,"1139","MENZIES CREEK","Stream","PKE",50.137314,-125.391175,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,52894,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-646600-00000-00000-0000-0000-000-000-000-000-000-000","920-644562-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_52894",FALSE
34,"1162","MILLARD CREEK","Stream","PKE",49.669457,-124.974157,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,53124,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-551800-00000-00000-0000-0000-000-000-000-000-000-000","920-558488-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_53124",FALSE
35,"1140","MOHUN CREEK","Stream","PKE",50.112084,-125.373998,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,52904,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-643100-00000-00000-0000-0000-000-000-000-000-000-000","920-641351-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_52904",FALSE
36,"1160","MORRISON CREEK","Stream","PKE",49.688916,-125.01374,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,53104,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-553200-94200-04800-0000-0000-000-000-000-000-000-000","920-559826-984406-044942-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_53104",FALSE
37,"1194","NANAIMO RIVER","Stream","PKE",49.138378,-123.895827,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,51514,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-384400-00000-00000-0000-0000-000-000-000-000-000-000","920-388982-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_51514",FALSE
38,"1186","NANOOSE CREEK","Stream","PKE",49.267454,-124.19281,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,51434,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-427200-00000-00000-0000-0000-000-000-000-000-000-000","920-432397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_51434",FALSE
39,"1178","NILE CREEK","Stream","PKE",49.420272,-124.64035,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,51354,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-494300-00000-00000-0000-0000-000-000-000-000-000-000","920-502507-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_51354",FALSE
40,"1142","NUNNS CREEK","Stream","PKE",50.043422,-125.25226,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,52924,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-626200-00000-00000-0000-0000-000-000-000-000-000-000","920-627155-006272-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_52924",FALSE
41,"799","OKEOVER CREEK","Stream","PKE",49.964019,-124.675504,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,49068,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-303400-00000-00000-0000-0000-000-000-000-000-000-000","900-305975-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_49068",FALSE
42,"1133","OPEN BAY CREEK","Stream","PKE",50.139356,-125.218064,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,52834,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","905-291000-82400-00000-0000-0000-000-000-000-000-000-000","905-405793-829793-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_52834",FALSE
43,"1149","OYSTER RIVER","Stream","PKE",49.872576,-125.11607,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,52994,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-600400-00000-00000-0000-0000-000-000-000-000-000-000","920-602544-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_52994",FALSE
44,"1156","PUNTLEDGE RIVER","Stream","PKE",49.695915,-124.994938,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,53064,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-553200-94200-00000-0000-0000-000-000-000-000-000-000","920-559826-984406-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_53064",FALSE
45,"1179","QUALICUM RIVER","Stream","PKE",49.39819,-124.610545,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,51364,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-490700-00000-00000-0000-0000-000-000-000-000-000-000","920-499091-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_51364",FALSE
46,"815","QUATAM RIVER","Stream","PKE",50.378269,-124.938053,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,50524,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-368900-00000-00000-0000-0000-000-000-000-000-000-000","900-369411-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_50524",FALSE
47,"1144","QUINSAM RIVER","Stream","PKE",50.037564,-125.294163,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,52944,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-627900-03600-00000-0000-0000-000-000-000-000-000-000","920-627155-045026-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_52944",FALSE
48,"1172","ROSEWALL CREEK","Stream","PKE",49.466685,-124.778639,"EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,51294,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-510600-00000-00000-0000-0000-000-000-000-000-000-000","920-519315-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_51294",FALSE
49,"774","SECHELT CREEK","Stream","PKE",49.681373,-123.555799,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,48818,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-177400-00000-00000-0000-0000-000-000-000-000-000-000","900-180821-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_48818",FALSE
50,"691","SEYMOUR RIVER","Stream","PKE",49.30188,-123.024618,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,49841,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-066100-00000-00000-0000-0000-000-000-000-000-000-000","900-078372-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_49841",FALSE
51,"772","SHANNON CREEK","Stream","PKE",49.675084,-123.161474,"SC","GStr","SC+GStr","GEORGIA STRAIT","GStr",50.09353876,-124.1622532,"Current","1","PKE-1",3,48798,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","900-090400-00000-00000-0000-0000-000-000-000-000-000-000","900-102436-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKE","PKE_48798",FALSE
