"","Yr","Area","River","Escapement","Returns","Recruits","Expl","Survival","EO","Popn","Population"
"24",1973,12,"ADAM RIVER",60000,109090.909090909,1e+05,0.45,0.510825623765991,"O","1","ADAM RIVER O"
"25",1974,12,"ADAM RIVER",60000,139534.88372093,177419.35483871,0.57,1.08417160451332,"E","2","ADAM RIVER E"
"26",1975,12,"ADAM RIVER",70000,1e+05,9756.09756097561,0.3,-1.97060276164568,"O","1","ADAM RIVER O"
"27",1976,12,"ADAM RIVER",55000,177419.35483871,108695.652173913,0.69,0.681218609694672,"E","2","ADAM RIVER E"
"28",1977,12,"ADAM RIVER",4000,9756.09756097561,11627.9069767442,0.59,1.06711362160874,"O","1","ADAM RIVER O"
"29",1978,12,"ADAM RIVER",50000,108695.652173913,36363.6363636364,0.54,-0.318453731118535,"E","2","ADAM RIVER E"
"30",1979,12,"ADAM RIVER",5000,11627.9069767442,17241.3793103448,0.57,1.23787435600162,"O","1","ADAM RIVER O"
"31",1980,12,"ADAM RIVER",20000,36363.6363636364,6333.33333333333,0.45,-1.14990558305566,"E","2","ADAM RIVER E"
"32",1981,12,"ADAM RIVER",10000,17241.3793103448,26315.7894736842,0.42,0.967584026261705,"O","1","ADAM RIVER O"
"33",1982,12,"ADAM RIVER",4750,6333.33333333333,6451.61290322581,0.25,0.306185544016341,"E","2","ADAM RIVER E"
"34",1983,12,"ADAM RIVER",15000,26315.7894736842,40000,0.43,0.980829253011726,"O","1","ADAM RIVER O"
"35",1984,12,"ADAM RIVER",4000,6451.61290322581,47297.2972972973,0.38,2.47015879315344,"E","2","ADAM RIVER E"
"36",1985,12,"ADAM RIVER",20000,40000,89285.7142857143,0.5,1.4961092271271,"O","1","ADAM RIVER O"
"37",1986,12,"ADAM RIVER",35000,47297.2972972973,74324.3243243243,0.26,0.753090216526979,"E","2","ADAM RIVER E"
"38",1987,12,"ADAM RIVER",50000,89285.7142857143,78125,0.44,0.44628710262842,"O","1","ADAM RIVER O"
"39",1988,12,"ADAM RIVER",55000,74324.3243243243,280898.876404494,0.26,1.63066154888573,"E","2","ADAM RIVER E"
"40",1989,12,"ADAM RIVER",25000,78125,2115.38461538462,0.68,-2.46963917765721,"O","1","ADAM RIVER O"
"41",1990,12,"ADAM RIVER",250000,280898.876404494,13698.6301369863,0.11,-2.9041650800285,"E","2","ADAM RIVER E"
"42",1991,12,"ADAM RIVER",1100,2115.38461538462,NA,0.48,NA,"O","1","ADAM RIVER O"
"43",1992,12,"ADAM RIVER",10000,13698.6301369863,40697.6744186046,0.27,1.40358585822995,"E","2","ADAM RIVER E"
"44",1993,12,"ADAM RIVER",NA,NA,11111.1111111111,0.46,NA,"O","1","ADAM RIVER O"
"45",1994,12,"ADAM RIVER",35000,40697.6744186046,74226.8041237113,0.14,0.75177726501135,"E","2","ADAM RIVER E"
"46",1995,12,"ADAM RIVER",6000,11111.1111111111,307.692307692308,0.46,-2.9704144655697,"O","1","ADAM RIVER O"
"47",1996,12,"ADAM RIVER",72000,74226.8041237113,78947.3684210526,0.03,0.0921152889078057,"E","2","ADAM RIVER E"
"48",1997,12,"ADAM RIVER",200,307.692307692308,1010.10101010101,0.35,1.6194882482876,"O","1","ADAM RIVER O"
"49",1998,12,"ADAM RIVER",75000,78947.3684210526,472527.472527473,0.05,1.84060777462254,"E","2","ADAM RIVER E"
"50",1999,12,"ADAM RIVER",1000,1010.10101010101,NA,0.01,NA,"O","1","ADAM RIVER O"
"51",2000,12,"ADAM RIVER",430000,472527.472527473,156547.727272727,0.09,-1.01042427860136,"E","2","ADAM RIVER E"
"52",2001,12,"ADAM RIVER",NA,NA,6803.79746835443,0.07,NA,"O","1","ADAM RIVER O"
"53",2002,12,"ADAM RIVER",137762,156547.727272727,168318.085106383,0.12,0.200327994401519,"E","2","ADAM RIVER E"
"54",2003,12,"ADAM RIVER",5375,6803.79746835443,48388.4210526316,0.21,2.19750197663797,"O","1","ADAM RIVER O"
"55",2004,12,"ADAM RIVER",158219,168318.085106383,66875,0.06,-0.861154944043619,"E","2","ADAM RIVER E"
"56",2005,12,"ADAM RIVER",45969,48388.4210526316,190293.87755102,0.05,1.42060234490359,"O","1","ADAM RIVER O"
"57",2006,12,"ADAM RIVER",61525,66875,156182.474226804,0.08,0.931581433980753,"E","2","ADAM RIVER E"
"58",2007,12,"ADAM RIVER",186488,190293.87755102,417440.425531915,0.02,0.805774946922295,"O","1","ADAM RIVER O"
"59",2008,12,"ADAM RIVER",151497,156182.474226804,247876.404494382,0.03,0.492364430190459,"E","2","ADAM RIVER E"
"60",2009,12,"ADAM RIVER",392394,417440.425531915,83525,0.06,-1.54712044881161,"O","1","ADAM RIVER O"
"61",2010,12,"ADAM RIVER",220610,247876.404494382,1192373.73737374,0.11,1.68730489984005,"E","2","ADAM RIVER E"
"62",2011,12,"ADAM RIVER",56797,83525,187769.892473118,0.32,1.19573372952164,"O","1","ADAM RIVER O"
"63",2012,12,"ADAM RIVER",1180450,1192373.73737374,506651.648351648,0.01,-0.845827317372545,"E","2","ADAM RIVER E"
"64",2013,12,"ADAM RIVER",174626,187769.892473118,316401.01010101,0.07,0.594363884251835,"O","1","ADAM RIVER O"
"65",2014,12,"ADAM RIVER",461053,506651.648351648,183824.242424242,0.09,-0.919532906955793,"E","2","ADAM RIVER E"
"66",2015,12,"ADAM RIVER",313237,316401.01010101,NA,0.01,NA,"O","1","ADAM RIVER O"
"67",2016,12,"ADAM RIVER",181986,183824.242424242,NA,0.01,NA,"E","2","ADAM RIVER E"
"68",2017,12,"ADAM RIVER",43365,NA,NA,NA,NA,"O","1","ADAM RIVER O"
"69",1950,12,"AHNUHATI RIVER",NA,NA,NA,NA,NA,"E","4","AHNUHATI RIVER E"
"70",1951,12,"AHNUHATI RIVER",NA,NA,NA,NA,NA,"O","3","AHNUHATI RIVER O"
"71",1952,12,"AHNUHATI RIVER",NA,NA,555.555555555556,NA,NA,"E","4","AHNUHATI RIVER E"
"72",1953,12,"AHNUHATI RIVER",3500,NA,NA,NA,NA,"O","3","AHNUHATI RIVER O"
"73",1954,12,"AHNUHATI RIVER",400,555.555555555556,888.888888888889,0.28,0.798507696217772,"E","4","AHNUHATI RIVER E"
"74",1955,12,"AHNUHATI RIVER",7500,NA,NA,NA,NA,"O","3","AHNUHATI RIVER O"
"75",1956,12,"AHNUHATI RIVER",400,888.888888888889,19736.8421052632,0.55,3.89877777867813,"E","4","AHNUHATI RIVER E"
"76",1957,12,"AHNUHATI RIVER",750,NA,17857.1428571429,NA,3.17008566069877,"O","3","AHNUHATI RIVER O"
"77",1958,12,"AHNUHATI RIVER",7500,19736.8421052632,18292.6829268293,0.62,0.891598119283784,"E","4","AHNUHATI RIVER E"
"78",1959,12,"AHNUHATI RIVER",7500,17857.1428571429,87500,0.58,2.4567357728213,"O","3","AHNUHATI RIVER O"
"79",1960,12,"AHNUHATI RIVER",7500,18292.6829268293,71428.5714285714,0.59,2.25379492882461,"E","4","AHNUHATI RIVER E"
"80",1961,12,"AHNUHATI RIVER",35000,87500,15306.1224489796,0.6,-0.827095153069684,"O","3","AHNUHATI RIVER O"
"81",1962,12,"AHNUHATI RIVER",35000,71428.5714285714,81395.3488372093,0.51,0.843970070294529,"E","4","AHNUHATI RIVER E"
"82",1963,12,"AHNUHATI RIVER",7500,15306.1224489796,24193.5483870968,0.51,1.17118298150295,"O","3","AHNUHATI RIVER O"
"83",1964,12,"AHNUHATI RIVER",35000,81395.3488372093,267857.142857143,0.57,2.03510572785978,"E","4","AHNUHATI RIVER E"
"84",1965,12,"AHNUHATI RIVER",15000,24193.5483870968,10294.1176470588,0.38,-0.376477571234912,"O","3","AHNUHATI RIVER O"
"85",1966,12,"AHNUHATI RIVER",75000,267857.142857143,189655.172413793,0.72,0.927719427697778,"E","4","AHNUHATI RIVER E"
"86",1967,12,"AHNUHATI RIVER",3500,10294.1176470588,2238.80597014925,0.66,-0.446820293790078,"O","3","AHNUHATI RIVER O"
"87",1968,12,"AHNUHATI RIVER",55000,189655.172413793,106060.606060606,0.71,0.656677500778554,"E","4","AHNUHATI RIVER E"
"88",1969,12,"AHNUHATI RIVER",1500,2238.80597014925,5737.70491803279,0.33,1.34159418220198,"O","3","AHNUHATI RIVER O"
"89",1970,12,"AHNUHATI RIVER",35000,106060.606060606,6122.44897959184,0.67,-1.74338588494384,"E","4","AHNUHATI RIVER E"
"90",1971,12,"AHNUHATI RIVER",3500,5737.70491803279,5454.54545454545,0.39,0.443686320928362,"O","3","AHNUHATI RIVER O"
"91",1972,12,"AHNUHATI RIVER",3000,6122.44897959184,34883.7209302326,0.51,2.45340798272863,"E","4","AHNUHATI RIVER E"
"92",1973,12,"AHNUHATI RIVER",3000,5454.54545454545,28571.4285714286,0.45,2.25379492882461,"O","3","AHNUHATI RIVER O"
"93",1974,12,"AHNUHATI RIVER",15000,34883.7209302326,322580.64516129,0.57,3.06830296638883,"E","4","AHNUHATI RIVER E"
"94",1975,12,"AHNUHATI RIVER",20000,28571.4285714286,9756.09756097561,0.3,-0.717839793150317,"O","3","AHNUHATI RIVER O"
"95",1976,12,"AHNUHATI RIVER",100000,322580.64516129,260869.565217391,0.69,0.958850346292951,"E","4","AHNUHATI RIVER E"
"96",1977,12,"AHNUHATI RIVER",4000,9756.09756097561,11627.9069767442,0.59,1.06711362160874,"O","3","AHNUHATI RIVER O"
"97",1978,12,"AHNUHATI RIVER",120000,260869.565217391,618181.818181818,0.54,1.63929087558378,"E","4","AHNUHATI RIVER E"
"98",1979,12,"AHNUHATI RIVER",5000,11627.9069767442,12068.9655172414,0.57,0.881199412062885,"O","3","AHNUHATI RIVER O"
"99",1980,12,"AHNUHATI RIVER",340000,618181.818181818,113333.333333333,0.45,-1.09861228866811,"E","4","AHNUHATI RIVER E"
"100",1981,12,"AHNUHATI RIVER",7000,12068.9655172414,15789.4736842105,0.42,0.813433346434447,"O","3","AHNUHATI RIVER O"
"101",1982,12,"AHNUHATI RIVER",85000,113333.333333333,80645.1612903226,0.25,-0.0525924501191706,"E","4","AHNUHATI RIVER E"
"102",1983,12,"AHNUHATI RIVER",9000,15789.4736842105,26000,0.43,1.06087196068526,"O","3","AHNUHATI RIVER O"
"103",1984,12,"AHNUHATI RIVER",50000,80645.1612903226,202702.702702703,0.38,1.39971738145203,"E","4","AHNUHATI RIVER E"
"104",1985,12,"AHNUHATI RIVER",13000,26000,7142.85714285714,0.5,-0.598836501088704,"O","3","AHNUHATI RIVER O"
"105",1986,12,"AHNUHATI RIVER",150000,202702.702702703,304054.054054054,0.26,0.706570200892086,"E","4","AHNUHATI RIVER E"
"106",1987,12,"AHNUHATI RIVER",4000,7142.85714285714,31250,0.44,2.05572501506252,"O","3","AHNUHATI RIVER O"
"107",1988,12,"AHNUHATI RIVER",225000,304054.054054054,280898.876404494,0.26,0.221894331913778,"E","4","AHNUHATI RIVER E"
"108",1989,12,"AHNUHATI RIVER",10000,31250,7692.30769230769,0.68,-0.262364264467491,"O","3","AHNUHATI RIVER O"
"109",1990,12,"AHNUHATI RIVER",250000,280898.876404494,117397.260273973,0.11,-0.755897347418812,"E","4","AHNUHATI RIVER E"
"110",1991,12,"AHNUHATI RIVER",4000,7692.30769230769,46296.2962962963,0.48,2.44876760317213,"O","3","AHNUHATI RIVER O"
"111",1992,12,"AHNUHATI RIVER",85700,117397.260273973,81395.3488372093,0.27,-0.0515346938197915,"E","4","AHNUHATI RIVER E"
"112",1993,12,"AHNUHATI RIVER",25000,46296.2962962963,64814.8148148148,0.46,0.95265837604503,"O","3","AHNUHATI RIVER O"
"113",1994,12,"AHNUHATI RIVER",70000,81395.3488372093,77319.587628866,0.14,0.0994520789716601,"E","4","AHNUHATI RIVER E"
"114",1995,12,"AHNUHATI RIVER",35000,64814.8148148148,5384.61538461538,0.46,-1.87180217690159,"O","3","AHNUHATI RIVER O"
"115",1996,12,"AHNUHATI RIVER",75000,77319.587628866,84210.5263157895,0.03,0.115831815525122,"E","4","AHNUHATI RIVER E"
"116",1997,12,"AHNUHATI RIVER",3500,5384.61538461538,NA,0.35,NA,"O","3","AHNUHATI RIVER O"
"117",1998,12,"AHNUHATI RIVER",80000,84210.5263157895,549450.549450549,0.05,1.92689214321955,"E","4","AHNUHATI RIVER E"
"118",1999,12,"AHNUHATI RIVER",NA,NA,3010.75268817204,0.01,NA,"O","3","AHNUHATI RIVER O"
"119",2000,12,"AHNUHATI RIVER",500000,549450.549450549,9280.68181818182,0.09,-3.98667308253617,"E","4","AHNUHATI RIVER E"
"120",2001,12,"AHNUHATI RIVER",2800,3010.75268817204,5293.67088607595,0.07,0.636892517346353,"O","3","AHNUHATI RIVER O"
"121",2002,12,"AHNUHATI RIVER",8167,9280.68181818182,145982.978723404,0.12,2.88338838644947,"E","4","AHNUHATI RIVER E"
"122",2003,12,"AHNUHATI RIVER",4182,5293.67088607595,4336.84210526316,0.21,0.0363568567425439,"O","3","AHNUHATI RIVER O"
"123",2004,12,"AHNUHATI RIVER",137224,145982.978723404,11740.2173913043,0.06,-2.45859429573214,"E","4","AHNUHATI RIVER E"
"124",2005,12,"AHNUHATI RIVER",4120,4336.84210526316,5216.32653061224,0.05,0.235940261031318,"O","3","AHNUHATI RIVER O"
"125",2006,12,"AHNUHATI RIVER",10801,11740.2173913043,11190.7216494845,0.08,0.0354462883786266,"E","4","AHNUHATI RIVER E"
"126",2007,12,"AHNUHATI RIVER",5112,5216.32653061224,13820.2127659574,0.02,0.99454149665645,"O","3","AHNUHATI RIVER O"
"127",2008,12,"AHNUHATI RIVER",10855,11190.7216494845,4751.68539325843,0.03,-0.826126428583952,"E","4","AHNUHATI RIVER E"
"128",2009,12,"AHNUHATI RIVER",12991,13820.2127659574,6038.23529411765,0.06,-0.766145010604869,"O","3","AHNUHATI RIVER O"
"129",2010,12,"AHNUHATI RIVER",4229,4751.68539325843,5487.87878787879,0.11,0.260576244932536,"E","4","AHNUHATI RIVER E"
"130",2011,12,"AHNUHATI RIVER",4106,6038.23529411765,4752.68817204301,0.32,0.1462610703277,"O","3","AHNUHATI RIVER O"
"131",2012,12,"AHNUHATI RIVER",5433,5487.87878787879,25310.989010989,0.01,1.53874718212262,"E","4","AHNUHATI RIVER E"
"132",2013,12,"AHNUHATI RIVER",4420,4752.68817204301,NA,0.07,NA,"O","3","AHNUHATI RIVER O"
"133",2014,12,"AHNUHATI RIVER",23033,25310.989010989,NA,0.09,NA,"E","4","AHNUHATI RIVER E"
"134",2015,12,"AHNUHATI RIVER",NA,NA,NA,0.01,NA,"O","3","AHNUHATI RIVER O"
"135",2016,12,"AHNUHATI RIVER",NA,NA,NA,0.01,NA,"E","4","AHNUHATI RIVER E"
"136",2017,12,"AHNUHATI RIVER",NA,NA,NA,NA,NA,"O","3","AHNUHATI RIVER O"
"137",1950,12,"AHTA RIVER",NA,NA,NA,NA,NA,"E","6","AHTA RIVER E"
"138",1951,12,"AHTA RIVER",NA,NA,NA,NA,NA,"O","5","AHTA RIVER O"
"139",1952,12,"AHTA RIVER",NA,NA,20833.3333333333,NA,NA,"E","6","AHTA RIVER E"
"140",1953,12,"AHTA RIVER",3500,NA,NA,NA,NA,"O","5","AHTA RIVER O"
"141",1954,12,"AHTA RIVER",15000,20833.3333333333,77777.7777777778,0.28,1.64580555660498,"E","6","AHTA RIVER E"
"142",1955,12,"AHTA RIVER",35000,NA,NA,NA,NA,"O","5","AHTA RIVER O"
"143",1956,12,"AHTA RIVER",35000,77777.7777777778,65789.4736842105,0.55,0.631111789640493,"E","6","AHTA RIVER E"
"144",1957,12,"AHTA RIVER",40000,NA,3571.42857142857,NA,-2.41591377830105,"O","5","AHTA RIVER O"
"145",1958,12,"AHTA RIVER",25000,65789.4736842105,18292.6829268293,0.62,-0.312374685042152,"E","6","AHTA RIVER E"
"146",1959,12,"AHTA RIVER",1500,3571.42857142857,37500,0.58,3.2188758248682,"O","5","AHTA RIVER O"
"147",1960,12,"AHTA RIVER",7500,18292.6829268293,30612.2448979592,0.59,1.40649706843741,"E","6","AHTA RIVER E"
"148",1961,12,"AHTA RIVER",15000,37500,14285.7142857143,0.6,-0.0487901641694319,"O","5","AHTA RIVER O"
"149",1962,12,"AHTA RIVER",15000,30612.2448979592,3488.37209302326,0.51,-1.45861502269952,"E","6","AHTA RIVER E"
"150",1963,12,"AHTA RIVER",7000,14285.7142857143,5645.16129032258,0.51,-0.215111379616946,"O","5","AHTA RIVER O"
"151",1964,12,"AHTA RIVER",1500,3488.37209302326,53571.4285714286,0.57,3.57555076880693,"E","6","AHTA RIVER E"
"152",1965,12,"AHTA RIVER",3500,5645.16129032258,44117.6470588235,0.38,2.53409689397877,"O","5","AHTA RIVER O"
"153",1966,12,"AHTA RIVER",15000,53571.4285714286,25862.0689655172,0.72,0.544727175441672,"E","6","AHTA RIVER E"
"154",1967,12,"AHTA RIVER",15000,44117.6470588235,4477.61194029851,0.66,-1.20896034583697,"O","5","AHTA RIVER O"
"155",1968,12,"AHTA RIVER",7500,25862.0689655172,10606.0606060606,0.71,0.346522572474715,"E","6","AHTA RIVER E"
"156",1969,12,"AHTA RIVER",3000,4477.61194029851,24590.1639344262,0.33,2.10373423424888,"O","5","AHTA RIVER O"
"157",1970,12,"AHTA RIVER",3500,10606.0606060606,40816.3265306122,0.67,2.45631919293609,"E","6","AHTA RIVER E"
"158",1971,12,"AHTA RIVER",15000,24590.1639344262,27272.7272727273,0.39,0.59783700075562,"O","5","AHTA RIVER O"
"159",1972,12,"AHTA RIVER",20000,40816.3265306122,46511.6279069767,0.51,0.843970070294529,"E","6","AHTA RIVER E"
"160",1973,12,"AHTA RIVER",15000,27272.7272727273,11428.5714285714,0.45,-0.271933715483642,"O","5","AHTA RIVER O"
"161",1974,12,"AHTA RIVER",20000,46511.6279069767,806.451612903226,0.57,-3.21084365317094,"E","6","AHTA RIVER E"
"162",1975,12,"AHTA RIVER",8000,11428.5714285714,19512.1951219512,0.3,0.891598119283784,"O","5","AHTA RIVER O"
"163",1976,12,"AHTA RIVER",250,806.451612903226,28260.8695652174,0.69,4.72777250808042,"E","6","AHTA RIVER E"
"164",1977,12,"AHTA RIVER",8000,19512.1951219512,69767.4418604651,0.59,2.16572591027685,"O","5","AHTA RIVER O"
"165",1978,12,"AHTA RIVER",13000,28260.8695652174,54545.4545454545,0.54,1.43408502495624,"E","6","AHTA RIVER E"
"166",1979,12,"AHTA RIVER",30000,69767.4418604651,51724.1379310345,0.57,0.544727175441672,"O","5","AHTA RIVER O"
"167",1980,12,"AHTA RIVER",30000,54545.4545454545,4666.66666666667,0.45,-1.86075234071501,"E","6","AHTA RIVER E"
"168",1981,12,"AHTA RIVER",30000,51724.1379310345,61403.5087719298,0.42,0.716269597980799,"O","5","AHTA RIVER O"
"169",1982,12,"AHTA RIVER",3500,4666.66666666667,16129.0322580645,0.25,1.52785792544168,"E","6","AHTA RIVER E"
"170",1983,12,"AHTA RIVER",35000,61403.5087719298,56000,0.43,0.470003629245736,"O","5","AHTA RIVER O"
"171",1984,12,"AHTA RIVER",10000,16129.0322580645,32432.4324324324,0.38,1.17657383013782,"E","6","AHTA RIVER E"
"172",1985,12,"AHTA RIVER",28000,56000,2678.57142857143,0.5,-2.3469209068141,"O","5","AHTA RIVER O"
"173",1986,12,"AHTA RIVER",24000,32432.4324324324,16216.2162162162,0.26,-0.392042087776024,"E","6","AHTA RIVER E"
"174",1987,12,"AHTA RIVER",1500,2678.57142857143,15625,0.44,2.3434070875143,"O","5","AHTA RIVER O"
"175",1988,12,"AHTA RIVER",12000,16216.2162162162,44943.8202247191,0.26,1.32050662058189,"E","6","AHTA RIVER E"
"176",1989,12,"AHTA RIVER",5000,15625,5769.23076923077,0.68,0.143100843640673,"O","5","AHTA RIVER O"
"177",1990,12,"AHTA RIVER",40000,44943.8202247191,23493.1506849315,0.11,-0.532170535662287,"E","6","AHTA RIVER E"
"178",1991,12,"AHTA RIVER",3000,5769.23076923077,10000,0.48,1.20397280432594,"O","5","AHTA RIVER O"
"179",1992,12,"AHTA RIVER",17150,23493.1506849315,31395.3488372093,0.27,0.604661582126964,"E","6","AHTA RIVER E"
"180",1993,12,"AHTA RIVER",5400,10000,10740.7407407407,0.46,0.687645103405962,"O","5","AHTA RIVER O"
"181",1994,12,"AHTA RIVER",27000,31395.3488372093,61855.6701030928,0.14,0.82896690370248,"E","6","AHTA RIVER E"
"182",1995,12,"AHTA RIVER",5800,10740.7407407407,1615.38461538462,0.46,-1.27828483729049,"O","5","AHTA RIVER O"
"183",1996,12,"AHTA RIVER",60000,61855.6701030928,67368.4210526316,0.03,0.115831815525122,"E","6","AHTA RIVER E"
"184",1997,12,"AHTA RIVER",1050,1615.38461538462,2121.21212121212,0.35,0.703197516413447,"O","5","AHTA RIVER O"
"185",1998,12,"AHTA RIVER",64000,67368.4210526316,60439.5604395604,0.05,-0.0572392186559596,"E","6","AHTA RIVER E"
"186",1999,12,"AHTA RIVER",2100,2121.21212121212,23655.9139784946,0.01,2.42167580146377,"O","5","AHTA RIVER O"
"187",2000,12,"AHTA RIVER",55000,60439.5604395604,710.227272727273,0.09,-4.34950344296832,"E","6","AHTA RIVER E"
"188",2001,12,"AHTA RIVER",22000,23655.9139784946,1175.94936708861,0.07,-2.92896666000554,"O","5","AHTA RIVER O"
"189",2002,12,"AHTA RIVER",625,710.227272727273,19840.4255319149,0.12,3.45772517905365,"E","6","AHTA RIVER E"
"190",2003,12,"AHTA RIVER",929,1175.94936708861,2808.42105263158,0.21,1.10626896260923,"O","5","AHTA RIVER O"
"191",2004,12,"AHTA RIVER",18650,19840.4255319149,1323.91304347826,0.06,-2.64525436786307,"E","6","AHTA RIVER E"
"192",2005,12,"AHTA RIVER",2668,2808.42105263158,9681.63265306122,0.05,1.28890142151951,"O","5","AHTA RIVER O"
"193",2006,12,"AHTA RIVER",1218,1323.91304347826,4284.53608247423,0.08,1.25780211143398,"E","6","AHTA RIVER E"
"194",2007,12,"AHTA RIVER",9488,9681.63265306122,12774.4680851064,0.02,0.297420655793879,"O","5","AHTA RIVER O"
"195",2008,12,"AHTA RIVER",4156,4284.53608247423,7573.03370786517,0.03,0.600040667943186,"E","6","AHTA RIVER E"
"196",2009,12,"AHTA RIVER",12008,12774.4680851064,4741.17647058824,0.06,-0.929287788874794,"O","5","AHTA RIVER O"
"197",2010,12,"AHTA RIVER",6740,7573.03370786517,20092.9292929293,0.11,1.09230805178178,"E","6","AHTA RIVER E"
"198",2011,12,"AHTA RIVER",3224,4741.17647058824,23721.5053763441,0.32,1.99575921190408,"O","5","AHTA RIVER O"
"199",2012,12,"AHTA RIVER",19892,20092.9292929293,75682.4175824176,0.01,1.33622822818029,"E","6","AHTA RIVER E"
"200",2013,12,"AHTA RIVER",22061,23721.5053763441,15837.3737373737,0.07,-0.331438770481811,"O","5","AHTA RIVER O"
"201",2014,12,"AHTA RIVER",68871,75682.4175824176,1074.74747474747,0.09,-4.16014946278859,"E","6","AHTA RIVER E"
"202",2015,12,"AHTA RIVER",15679,15837.3737373737,NA,0.01,NA,"O","5","AHTA RIVER O"
"203",2016,12,"AHTA RIVER",1064,1074.74747474747,NA,0.01,NA,"E","6","AHTA RIVER E"
"204",2017,12,"AHTA RIVER",632,NA,NA,NA,NA,"O","5","AHTA RIVER O"
"205",1950,12,"AHTA VALLEY CREEK",NA,NA,NA,NA,NA,"E","8","AHTA VALLEY CREEK E"
"206",1951,12,"AHTA VALLEY CREEK",NA,NA,NA,NA,NA,"O","7","AHTA VALLEY CREEK O"
"207",1952,12,"AHTA VALLEY CREEK",NA,NA,4861.11111111111,NA,NA,"E","8","AHTA VALLEY CREEK E"
"208",1953,12,"AHTA VALLEY CREEK",75,NA,NA,NA,NA,"O","7","AHTA VALLEY CREEK O"
"209",1954,12,"AHTA VALLEY CREEK",3500,4861.11111111111,7777.77777777778,0.28,0.798507696217772,"E","8","AHTA VALLEY CREEK E"
"210",1955,12,"AHTA VALLEY CREEK",1500,NA,NA,NA,NA,"O","7","AHTA VALLEY CREEK O"
"211",1956,12,"AHTA VALLEY CREEK",3500,7777.77777777778,9210.52631578947,0.55,0.967584026261705,"E","8","AHTA VALLEY CREEK E"
"212",1957,12,"AHTA VALLEY CREEK",7500,NA,NA,NA,NA,"O","7","AHTA VALLEY CREEK O"
"213",1958,12,"AHTA VALLEY CREEK",3500,9210.52631578947,975.609756097561,0.62,-1.27745558108574,"E","8","AHTA VALLEY CREEK E"
"214",1959,12,"AHTA VALLEY CREEK",NA,NA,500,0.58,NA,"O","7","AHTA VALLEY CREEK O"
"215",1960,12,"AHTA VALLEY CREEK",400,975.609756097561,816.326530612245,0.59,0.713349887877465,"E","8","AHTA VALLEY CREEK E"
"216",1961,12,"AHTA VALLEY CREEK",200,500,3061.22448979592,0.6,2.72825290841973,"O","7","AHTA VALLEY CREEK O"
