"","area","river","site","year","escapement","returns","recruits","survival"
"27","12","ADAM RIVER","1","1976",NA,NA,NA,NA
"28","12","ADAM RIVER","1","1977",NA,NA,NA,NA
"29","12","ADAM RIVER","1","1978",NA,NA,NA,NA
"30","12","ADAM RIVER","1","1979",NA,NA,NA,NA
"31","12","ADAM RIVER","1","1980",NA,NA,NA,NA
"32","12","ADAM RIVER","1","1981",NA,NA,NA,NA
"33","12","ADAM RIVER","1","1982",NA,NA,NA,NA
"34","12","ADAM RIVER","1","1983",NA,NA,NA,NA
"35","12","ADAM RIVER","1","1984",NA,NA,NA,NA
"36","12","ADAM RIVER","1","1985",NA,NA,NA,NA
"37","12","ADAM RIVER","1","1986",NA,NA,NA,NA
"38","12","ADAM RIVER","1","1987",NA,NA,NA,NA
"39","12","ADAM RIVER","1","1988",NA,NA,NA,NA
"40","12","ADAM RIVER","1","1989",NA,NA,NA,NA
"41","12","ADAM RIVER","1","1990",NA,NA,NA,NA
"42","12","ADAM RIVER","1","1991",NA,NA,NA,NA
"43","12","ADAM RIVER","1","1992",NA,NA,NA,NA
"44","12","ADAM RIVER","1","1993",NA,NA,NA,NA
"45","12","ADAM RIVER","1","1994",1250,1358.69565217391,NA,NA
"46","12","ADAM RIVER","1","1995",150,163.04347826087,NA,NA
"47","12","ADAM RIVER","1","1996",NA,NA,NA,NA
"48","12","ADAM RIVER","1","1997",NA,NA,NA,NA
"49","12","ADAM RIVER","1","1998",NA,NA,NA,NA
"50","12","ADAM RIVER","1","1999",NA,NA,71.0991522629767,NA
"51","12","ADAM RIVER","1","2000",NA,NA,36.7048760957214,NA
"52","12","ADAM RIVER","1","2001",NA,NA,18.149506650902,NA
"53","12","ADAM RIVER","1","2002",25,25.5102040816327,36.0878018590832,0.367079084729671
"54","12","ADAM RIVER","1","2003",63,64.9484536082474,146.529014081552,0.844088730794847
"55","12","ADAM RIVER","1","2004",45,46.875,49.4619487570604,0.0945411722151913
"56","12","ADAM RIVER","1","2005",12,12.9032258064516,38.9336908160636,1.17695331381531
"57","12","ADAM RIVER","1","2006",24,25.2631578947368,3.62345870266467,-1.8906248179301
"58","12","ADAM RIVER","1","2007",141,150,14.3222129249083,-2.28694820692248
"59","12","ADAM RIVER","1","2008",92,92.9292929292929,11.7922225644859,-2.054348367587
"60","12","ADAM RIVER","1","2009",1,1.02040816326531,8.03040535547574,2.08323500681856
"61","12","ADAM RIVER","1","2010",6,6.18556701030928,6.13793150776637,0.0227283281855574
"62","12","ADAM RIVER","1","2011",6,6.06060606060606,NA,NA
"63","12","ADAM RIVER","1","2012",20,21.0526315789474,NA,NA
"64","12","ADAM RIVER","1","2013",5,5.10204081632653,NA,NA
"65","12","ADAM RIVER","1","2014",5,5.20833333333333,NA,NA
"66","12","ADAM RIVER","1","2015",20,21.0094843902852,NA,NA
"67","12","ADAM RIVER","1","2016",NA,NA,NA,NA
"68","12","ADAM RIVER","1","2017",5,5.37474338534305,NA,NA
"69","12","AHNUHATI RIVER","2","1950",NA,NA,NA,NA
"70","12","AHNUHATI RIVER","2","1951",NA,NA,9307.97413793103,NA
"71","12","AHNUHATI RIVER","2","1952",NA,NA,13498.6918604651,NA
"72","12","AHNUHATI RIVER","2","1953",35000,NA,4692.05426356589,-2.00947756564019
"73","12","AHNUHATI RIVER","2","1954",7500,8620.68965517241,21591.8252149536,1.05741176024227
"74","12","AHNUHATI RIVER","2","1955",7500,8522.72727272727,21529.2510094648,1.05450950200152
"75","12","AHNUHATI RIVER","2","1956",15000,16666.6666666667,7830.97086025784,-0.649963706415822
"76","12","AHNUHATI RIVER","2","1957",1500,1744.18604651163,10671.0276595782,1.96206726555535
"77","12","AHNUHATI RIVER","2","1958",35000,37234.0425531915,2517.04250820726,-2.63226345703734
"78","12","AHNUHATI RIVER","2","1959",7500,8152.17391304348,11583.2982415098,0.434661233285891
"79","12","AHNUHATI RIVER","2","1960",7500,8241.75824175824,15451.6148988777,0.722810501538422
"80","12","AHNUHATI RIVER","2","1961",7500,8426.96629213483,4313.90691281499,-0.553059050736945
"81","12","AHNUHATI RIVER","2","1962",7500,8152.17391304348,1013.50466708134,-2.00148872872796
"82","12","AHNUHATI RIVER","2","1963",7500,7731.9587628866,2862.57122200159,-0.963182770922843
"83","12","AHNUHATI RIVER","2","1964",15000,16666.6666666667,7891.51659323459,-0.642261867575777
"84","12","AHNUHATI RIVER","2","1965",750,789.473684210526,2002.57852328667,0.982117684270916
"85","12","AHNUHATI RIVER","2","1966",750,757.575757575758,4730.72225129415,1.84175995913266
"86","12","AHNUHATI RIVER","2","1967",7500,7575.75757575758,1174.49553407895,-1.85406429783458
"87","12","AHNUHATI RIVER","2","1968",3500,3684.21052631579,4289.15345375702,0.203326414845838
"88","12","AHNUHATI RIVER","2","1969",2500,2659.57446808511,4150.27598089479,0.506884101577763
"89","12","AHNUHATI RIVER","2","1970",3500,3684.21052631579,824.835718760893,-1.44533400974627
"90","12","AHNUHATI RIVER","2","1971",1500,1685.39325842697,1313.7775889746,-0.132558464948683
"91","12","AHNUHATI RIVER","2","1972",3000,3125,3394.66033483241,0.123591418687103
"92","12","AHNUHATI RIVER","2","1973",4000,4494.38202247191,4673.56752296411,0.15562834246676
"93","12","AHNUHATI RIVER","2","1974",1000,1162.79069767442,10691.0864171856,2.36941034917011
"94","12","AHNUHATI RIVER","2","1975",2500,2577.31958762887,2802.66495347724,0.114280001760994
"95","12","AHNUHATI RIVER","2","1976",2000,2173.91304347826,9824.65487757006,1.59174784961353
"96","12","AHNUHATI RIVER","2","1977",5000,5555.55555555556,6323.17437407378,0.234783444005875
"97","12","AHNUHATI RIVER","2","1978",10500,10714.2857142857,5611.34834766156,-0.62658421933088
"98","12","AHNUHATI RIVER","2","1979",2300,2527.47252747253,5542.45745185703,0.879528862837766
"99","12","AHNUHATI RIVER","2","1980",12000,12244.8979591837,1788.47276057343,-1.90354460050663
"100","12","AHNUHATI RIVER","2","1981",3000,3191.48936170213,6567.95888326139,0.783590823301246
"101","12","AHNUHATI RIVER","2","1982",4000,4040.40404040404,42830.3228254972,2.37095196784758
"102","12","AHNUHATI RIVER","2","1983",7700,8461.53846153846,13756.505902701,0.580291539909748
"103","12","AHNUHATI RIVER","2","1984",500,505.050505050505,17676.6709402051,3.5653929248024
"104","12","AHNUHATI RIVER","2","1985",3000,3000,NA,NA
"105","12","AHNUHATI RIVER","2","1986",50000,51020.4081632653,NA,NA
"106","12","AHNUHATI RIVER","2","1987",6500,6914.89361702128,NA,NA
"107","12","AHNUHATI RIVER","2","1988",20000,20202.0202020202,8373.29776675188,-0.870684468232413
"108","12","AHNUHATI RIVER","2","1989",3500,3763.44086021505,6850.85390643406,0.671610333883205
"109","12","AHNUHATI RIVER","2","1990",NA,NA,4012.71892950311,NA
"110","12","AHNUHATI RIVER","2","1991",1030,1107.52688172043,9421.02921807586,2.21338553919751
"111","12","AHNUHATI RIVER","2","1992",6500,6701.03092783505,3464.8742679147,-0.629125831234193
"112","12","AHNUHATI RIVER","2","1993",8500,9340.65934065934,579.269065174258,-2.68605436615684
"113","12","AHNUHATI RIVER","2","1994",250,271.739130434783,2143.00878682922,2.14850517784988
"114","12","AHNUHATI RIVER","2","1995",15000,16304.347826087,1593.27228853706,-2.24226025663455
"115","12","AHNUHATI RIVER","2","1996",200,212.765957446809,1582.07136680182,2.06817289252048
"116","12","AHNUHATI RIVER","2","1997",500,526.315789473684,10225.2105346814,3.01800347246573
"117","12","AHNUHATI RIVER","2","1998",2000,2040.81632653061,17569.8325566985,2.17303619152527
"118","12","AHNUHATI RIVER","2","1999",1800,1894.73684210526,12509.1915148193,1.93867703037551
"119","12","AHNUHATI RIVER","2","2000",1200,1224.48979591837,11285.6422768212,2.24120976606256
"120","12","AHNUHATI RIVER","2","2001",10100,10860.2150537634,19581.5916325051,0.662054498639099
"121","12","AHNUHATI RIVER","2","2002",20632,21053.0612244898,83510.0405685927,1.39812360237921
"122","12","AHNUHATI RIVER","2","2003",5818,5997.9381443299,44133.8879736756,2.02627136206218
"123","12","AHNUHATI RIVER","2","2004",13383,13940.625,6864.03309878462,-0.667690060556196
"124","12","AHNUHATI RIVER","2","2005",16816,18081.7204301075,16122.9302272161,-0.0420883176934547
"125","12","AHNUHATI RIVER","2","2006",93853,98792.6315789474,6253.38794946967,-2.70860633962911
"126","12","AHNUHATI RIVER","2","2007",28451,30267.0212765957,27049.7423236388,-0.0505058300207082
"127","12","AHNUHATI RIVER","2","2008",10781,10889.898989899,17192.2500993199,0.466673381101794
"128","12","AHNUHATI RIVER","2","2009",10510,10724.4897959184,18653.8861078412,0.573727309888501
"129","12","AHNUHATI RIVER","2","2010",9629,9926.80412371134,NA,NA
"130","12","AHNUHATI RIVER","2","2011",15201,15354.5454545455,NA,NA
"131","12","AHNUHATI RIVER","2","2012",28250,29736.8421052632,NA,NA
"132","12","AHNUHATI RIVER","2","2013",10602,10818.3673469388,NA,NA
"133","12","AHNUHATI RIVER","2","2014",27621,28771.875,NA,NA
"134","12","AHNUHATI RIVER","2","2015",NA,NA,NA,NA
"135","12","AHNUHATI RIVER","2","2016",NA,NA,NA,NA
"136","12","AHNUHATI RIVER","2","2017",NA,NA,NA,NA
"137","12","AHTA RIVER","3","1950",NA,NA,NA,NA
"138","12","AHTA RIVER","3","1951",NA,NA,5158.0316091954,NA
"139","12","AHTA RIVER","3","1952",NA,NA,3888.45930232558,NA
"140","12","AHTA RIVER","3","1953",7500,NA,6856.38242894057,-0.0897230606185793
"141","12","AHTA RIVER","3","1954",15000,17241.3793103448,25910.870679532,0.54661239690304
"142","12","AHTA RIVER","3","1955",1500,1704.54545454545,19589.9947727487,2.56955385701562
"143","12","AHTA RIVER","3","1956",3500,3888.88888888889,3180.56329015257,-0.0957046521217784
"144","12","AHTA RIVER","3","1957",7500,8720.93023255814,16297.2067080719,0.776090704982393
"145","12","AHTA RIVER","3","1958",40000,42553.1914893617,3445.75781127108,-2.45173559959495
"146","12","AHTA RIVER","3","1959",1500,1630.4347826087,11250.206673984,2.01492139139432
"147","12","AHTA RIVER","3","1960",3500,3846.15384615385,15258.1979202391,1.47235395866012
"148","12","AHTA RIVER","3","1961",15000,16853.9325842697,4056.68402351834,-1.30768430418061
"149","12","AHTA RIVER","3","1962",7500,8152.17391304348,6465.75563364593,-0.148383134460767
"150","12","AHTA RIVER","3","1963",7000,7216.49484536082,3981.52943628389,-0.564244123102458
"151","12","AHTA RIVER","3","1964",15000,16666.6666666667,18587.3299714429,0.214429963174458
"152","12","AHTA RIVER","3","1965",200,210.526315789474,13595.4703452408,4.21917458684841
"153","12","AHTA RIVER","3","1966",7500,7575.75757575758,24017.6463417784,1.16388580387212
"154","12","AHTA RIVER","3","1967",7500,7575.75757575758,1933.80695855263,-1.35541244309864
"155","12","AHTA RIVER","3","1968",15000,15789.4736842105,29383.8458479003,0.672394861277664
"156","12","AHTA RIVER","3","1969",20000,21276.5957446809,32054.0677939081,0.471691822005739
"157","12","AHTA RIVER","3","1970",15000,15789.4736842105,7130.3474489781,-0.743690237291338
"158","12","AHTA RIVER","3","1971",200,224.719101123595,3005.59143968994,2.70991227958747
"159","12","AHTA RIVER","3","1972",25000,26041.6666666667,10666.7002223629,-0.851749064895009
"160","12","AHTA RIVER","3","1973",30000,33707.8651685393,4417.89550146702,-1.91553392984867
"161","12","AHTA RIVER","3","1974",10000,11627.9069767442,9822.97960166928,-0.0178605948921607
"162","12","AHTA RIVER","3","1975",1000,1030.92783505155,7458.70859968603,2.00938228926875
"163","12","AHTA RIVER","3","1976",11000,11956.5217391304,15672.6398969024,0.35402123759368
"164","12","AHTA RIVER","3","1977",3000,3333.33333333333,5596.52748757826,0.62353402523286
"165","12","AHTA RIVER","3","1978",8000,8163.26530612245,9989.75134455661,0.222118160236081
"166","12","AHTA RIVER","3","1979",12000,13186.8131868132,2826.75431898657,-1.44577748005763
"167","12","AHTA RIVER","3","1980",15000,15306.1224489796,287.919601511888,-3.95312420033826
"168","12","AHTA RIVER","3","1981",200,212.765957446809,538.2866661369,0.990073888392375
"169","12","AHTA RIVER","3","1982",13500,13636.3636363636,1178.57978141044,-2.43837954692088
"170","12","AHTA RIVER","3","1983",250,274.725274725275,1060.28428875622,1.44483143022532
"171","12","AHTA RIVER","3","1984",500,505.050505050505,2579.47576914446,1.64073336859345
"172","12","AHTA RIVER","3","1985",300,300,484.96691512219,0.480298197711541
"173","12","AHTA RIVER","3","1986",1200,1224.48979591837,681.95769655914,-0.565109208362137
"174","12","AHTA RIVER","3","1987",625,664.893617021277,808.951884201308,0.257987789906012
"175","12","AHTA RIVER","3","1988",3000,3030.30303030303,3032.07176417226,0.0106338477541608
"176","12","AHTA RIVER","3","1989",400,430.10752688172,1603.99546929842,1.38878841668757
"177","12","AHTA RIVER","3","1990",100,107.52688172043,482.070545590062,1.57292027749826
"178","12","AHTA RIVER","3","1991",1200,1290.32258064516,572.036463170675,-0.740874099626155
"179","12","AHTA RIVER","3","1992",2600,2680.41237113402,609.669393219056,-1.45034989209498
"180","12","AHTA RIVER","3","1993",1850,2032.96703296703,2320.944041067,0.226788378073849
"181","12","AHTA RIVER","3","1994",300,326.086956521739,4720.89168748357,2.7559705029206
"182","12","AHTA RIVER","3","1995",800,869.565217391304,1792.36075227497,0.80667715825972
"183","12","AHTA RIVER","3","1996",450,478.723404255319,8854.83757481124,2.97947162451881
"184","12","AHTA RIVER","3","1997",2280,2400,6996.79528076607,1.12127678422533
"185","12","AHTA RIVER","3","1998",5000,5102.04081632653,8460.9551760177,0.526024159777377
"186","12","AHTA RIVER","3","1999",800,842.105263157895,4049.63852597958,1.62177117560484
"187","12","AHTA RIVER","3","2000",10000,10204.0816326531,1216.28336160404,-2.10678530896189
"188","12","AHTA RIVER","3","2001",6500,6989.24731182796,1355.07795956254,-1.56794318949249
"189","12","AHTA RIVER","3","2002",9260,9448.97959183673,12458.8814249556,0.296729687393314
"190","12","AHTA RIVER","3","2003",2076,2140.20618556701,3482.3318431157,0.517259173946999
"191","12","AHTA RIVER","3","2004",1451,1511.45833333333,465.700059177611,-1.13646647582348
"192","12","AHTA RIVER","3","2005",599,644.086021505376,1422.84443129564,0.86515166953961
"193","12","AHTA RIVER","3","2006",14739,15514.7368421053,88.0473009184397,-5.12037814032873
"194","12","AHTA RIVER","3","2007",853,907.446808510638,750.582842363276,-0.127909519614135
"195","12","AHTA RIVER","3","2008",776,783.838383838384,667.820240401209,-0.150133484056592
"196","12","AHTA RIVER","3","2009",1187,1211.22448979592,512.75902110294,-0.839378404242094
"197","12","AHTA RIVER","3","2010",63,64.9484536082474,293.514719652156,1.53879306375586
"198","12","AHTA RIVER","3","2011",354,357.575757575758,1258.05942280838,1.26802875894774
"199","12","AHTA RIVER","3","2012",1106,1164.21052631579,1266.17312158002,0.135249158176486
"200","12","AHTA RIVER","3","2013",407,415.30612244898,NA,NA
"201","12","AHTA RIVER","3","2014",102,106.25,NA,NA
"202","12","AHTA RIVER","3","2015",1813,1904.50975997935,NA,NA
"203","12","AHTA RIVER","3","2016",720,771.783197932924,NA,NA
"204","12","AHTA RIVER","3","2017",659,708.391178188214,NA,NA
"205","12","AHTA RIVER","4","1950",NA,NA,NA,NA
"206","12","AHTA RIVER","4","1951",NA,NA,NA,NA
"207","12","AHTA RIVER","4","1952",NA,NA,NA,NA
"208","12","AHTA RIVER","4","1953",NA,NA,NA,NA
"209","12","AHTA RIVER","4","1954",NA,NA,NA,NA
"210","12","AHTA RIVER","4","1955",NA,NA,NA,NA
"211","12","AHTA RIVER","4","1956",NA,NA,NA,NA
"212","12","AHTA RIVER","4","1957",NA,NA,NA,NA
"213","12","AHTA RIVER","4","1958",NA,NA,NA,NA
"214","12","AHTA RIVER","4","1959",NA,NA,NA,NA
"215","12","AHTA RIVER","4","1960",NA,NA,NA,NA
"216","12","AHTA RIVER","4","1961",NA,NA,NA,NA
"217","12","AHTA RIVER","4","1962",NA,NA,NA,NA
"218","12","AHTA RIVER","4","1963",NA,NA,NA,NA
"219","12","AHTA RIVER","4","1964",NA,NA,NA,NA
"220","12","AHTA RIVER","4","1965",NA,NA,NA,NA
"221","12","AHTA RIVER","4","1966",NA,NA,NA,NA
"222","12","AHTA RIVER","4","1967",NA,NA,NA,NA
"223","12","AHTA RIVER","4","1968",NA,NA,NA,NA
"224","12","AHTA RIVER","4","1969",NA,NA,NA,NA
"225","12","AHTA RIVER","4","1970",NA,NA,NA,NA
"226","12","AHTA RIVER","4","1971",NA,NA,NA,NA
"227","12","AHTA RIVER","4","1972",NA,NA,NA,NA
"228","12","AHTA RIVER","4","1973",NA,NA,NA,NA
"229","12","AHTA RIVER","4","1974",NA,NA,NA,NA
"230","12","AHTA RIVER","4","1975",NA,NA,NA,NA
"231","12","AHTA RIVER","4","1976",NA,NA,NA,NA
"232","12","AHTA RIVER","4","1977",NA,NA,NA,NA
"233","12","AHTA RIVER","4","1978",NA,NA,NA,NA
"234","12","AHTA RIVER","4","1979",NA,NA,NA,NA
"235","12","AHTA RIVER","4","1980",NA,NA,NA,NA
"236","12","AHTA RIVER","4","1981",NA,NA,NA,NA
"237","12","AHTA RIVER","4","1982",NA,NA,NA,NA
"238","12","AHTA RIVER","4","1983",NA,NA,NA,NA
"239","12","AHTA RIVER","4","1984",NA,NA,NA,NA
"240","12","AHTA RIVER","4","1985",NA,NA,NA,NA
"241","12","AHTA RIVER","4","1986",NA,NA,NA,NA
"242","12","AHTA RIVER","4","1987",NA,NA,NA,NA
"243","12","AHTA RIVER","4","1988",NA,NA,NA,NA
"244","12","AHTA RIVER","4","1989",NA,NA,NA,NA
"245","12","AHTA RIVER","4","1990",NA,NA,NA,NA
"246","12","AHTA RIVER","4","1991",NA,NA,NA,NA
"247","12","AHTA RIVER","4","1992",NA,NA,NA,NA
"248","12","AHTA RIVER","4","1993",NA,NA,NA,NA
"249","12","AHTA RIVER","4","1994",NA,NA,NA,NA
"250","12","AHTA RIVER","4","1995",1000,1086.95652173913,NA,NA
"251","12","AHTA RIVER","4","1996",350,372.340425531915,NA,NA
"252","12","AHTA RIVER","4","1997",NA,NA,NA,NA
"253","12","AHTA RIVER","4","1998",NA,NA,NA,NA
"254","12","AHTA RIVER","4","1999",NA,NA,NA,NA
"255","12","AHTA RIVER","4","2000",NA,NA,NA,NA
"256","12","AHTA RIVER","4","2001",NA,NA,NA,NA
"257","12","AHTA RIVER","4","2002",NA,NA,NA,NA
"258","12","AHTA RIVER","4","2003",NA,NA,NA,NA
"259","12","AHTA RIVER","4","2004",NA,NA,NA,NA
"260","12","AHTA RIVER","4","2005",NA,NA,NA,NA
"261","12","AHTA RIVER","4","2006",NA,NA,NA,NA
"262","12","AHTA RIVER","4","2007",NA,NA,NA,NA
"263","12","AHTA RIVER","4","2008",NA,NA,NA,NA
"264","12","AHTA RIVER","4","2009",NA,NA,NA,NA
"265","12","AHTA RIVER","4","2010",NA,NA,NA,NA
"266","12","AHTA RIVER","4","2011",NA,NA,NA,NA
"267","12","AHTA RIVER","4","2012",NA,NA,NA,NA
"268","12","AHTA RIVER","4","2013",NA,NA,NA,NA
"269","12","AHTA RIVER","4","2014",NA,NA,NA,NA
"270","12","AHTA RIVER","4","2015",NA,NA,NA,NA
"271","12","AHTA RIVER","4","2016",NA,NA,NA,NA
"272","12","AHTA RIVER","4","2017",NA,NA,NA,NA
"273","12","AHTA VALLEY CREEK","5","1950",NA,NA,NA,NA
"274","12","AHTA VALLEY CREEK","5","1951",NA,NA,3782.97413793103,NA
"275","12","AHTA VALLEY CREEK","5","1952",NA,NA,6521.9476744186,NA
"276","12","AHTA VALLEY CREEK","5","1953",750,NA,4562.01550387597,1.80544659479044
"277","12","AHTA VALLEY CREEK","5","1954",7500,8620.68965517241,NA,NA
"278","12","AHTA VALLEY CREEK","5","1955",1500,1704.54545454545,NA,NA
"279","12","AHTA VALLEY CREEK","5","1956",7500,8333.33333333333,NA,NA
"280","12","AHTA VALLEY CREEK","5","1957",3500,4069.76744186047,NA,NA
"281","12","AHTA VALLEY CREEK","5","1958",750,797.872340425532,179.549951364204,-1.42961975673436
"282","12","AHTA VALLEY CREEK","5","1959",NA,NA,847.850303037452,NA
"283","12","AHTA VALLEY CREEK","5","1960",NA,NA,611.121883998885,NA
"284","12","AHTA VALLEY CREEK","5","1961",750,842.696629213483,151.704751170388,-1.59813700115156
"285","12","AHTA VALLEY CREEK","5","1962",400,434.782608695652,111.616488677831,-1.2763957600652
"286","12","AHTA VALLEY CREEK","5","1963",750,773.19587628866,558.104649276714,-0.295526718226473
"287","12","AHTA VALLEY CREEK","5","1964",400,444.444444444444,1152.75258196719,1.05844336380906
"288","12","AHTA VALLEY CREEK","5","1965",75,78.9473684210526,444.177771670213,1.77873675540719
"289","12","AHTA VALLEY CREEK","5","1966",75,75.7575757575758,769.274796543774,2.32796013484735
"290","12","AHTA VALLEY CREEK","5","1967",1500,1515.15151515152,150.615028894737,-2.2984932832458
"291","12","AHTA VALLEY CREEK","5","1968",200,210.526315789474,751.947415744382,1.32434902908504
"292","12","AHTA VALLEY CREEK","5","1969",750,797.872340425532,NA,NA
"293","12","AHTA VALLEY CREEK","5","1970",400,421.052631578947,NA,NA
"294","12","AHTA VALLEY CREEK","5","1971",200,224.719101123595,NA,NA
"295","12","AHTA VALLEY CREEK","5","1972",400,416.666666666667,NA,NA
"296","12","AHTA VALLEY CREEK","5","1973",1500,1685.39325842697,NA,NA
"297","12","AHTA VALLEY CREEK","5","1974",NA,NA,NA,NA
"298","12","AHTA VALLEY CREEK","5","1975",NA,NA,432.321244026688,NA
"299","12","AHTA VALLEY CREEK","5","1976",NA,NA,869.941381512408,NA
"300","12","AHTA VALLEY CREEK","5","1977",NA,NA,NA,NA
"301","12","AHTA VALLEY CREEK","5","1978",100,102.040816326531,NA,NA
"302","12","AHTA VALLEY CREEK","5","1979",800,879.120879120879,NA,NA
"303","12","AHTA VALLEY CREEK","5","1980",750,765.30612244898,NA,NA
"304","12","AHTA VALLEY CREEK","5","1981",100,106.382978723404,NA,NA
"305","12","AHTA VALLEY CREEK","5","1982",NA,NA,NA,NA
"306","12","AHTA VALLEY CREEK","5","1983",NA,NA,NA,NA
"307","12","AHTA VALLEY CREEK","5","1984",NA,NA,NA,NA
"308","12","AHTA VALLEY CREEK","5","1985",NA,NA,NA,NA
"309","12","AHTA VALLEY CREEK","5","1986",NA,NA,NA,NA
"310","12","AHTA VALLEY CREEK","5","1987",NA,NA,NA,NA
"311","12","AHTA VALLEY CREEK","5","1988",NA,NA,NA,NA
"312","12","AHTA VALLEY CREEK","5","1989",NA,NA,NA,NA
"313","12","AHTA VALLEY CREEK","5","1990",NA,NA,NA,NA
"314","12","AHTA VALLEY CREEK","5","1991",NA,NA,NA,NA
"315","12","AHTA VALLEY CREEK","5","1992",NA,NA,NA,NA
"316","12","AHTA VALLEY CREEK","5","1993",10,10.989010989011,NA,NA
"317","12","AHTA VALLEY CREEK","5","1994",NA,NA,NA,NA
"318","12","AHTA VALLEY CREEK","5","1995",NA,NA,NA,NA
"319","12","AHTA VALLEY CREEK","5","1996",NA,NA,NA,NA
"320","12","AHTA VALLEY CREEK","5","1997",NA,NA,NA,NA
"321","12","AHTA VALLEY CREEK","5","1998",NA,NA,NA,NA
"322","12","AHTA VALLEY CREEK","5","1999",NA,NA,NA,NA
"323","12","AHTA VALLEY CREEK","5","2000",NA,NA,NA,NA
"324","12","AHTA VALLEY CREEK","5","2001",NA,NA,NA,NA
"325","12","AHTA VALLEY CREEK","5","2002",NA,NA,NA,NA
"326","12","AHTA VALLEY CREEK","5","2003",NA,NA,NA,NA
"327","12","AHTA VALLEY CREEK","5","2004",NA,NA,NA,NA
"328","12","AHTA VALLEY CREEK","5","2005",NA,NA,NA,NA
"329","12","AHTA VALLEY CREEK","5","2006",NA,NA,NA,NA
"330","12","AHTA VALLEY CREEK","5","2007",NA,NA,NA,NA
"331","12","AHTA VALLEY CREEK","5","2008",NA,NA,NA,NA
"332","12","AHTA VALLEY CREEK","5","2009",NA,NA,NA,NA
"333","12","AHTA VALLEY CREEK","5","2010",NA,NA,NA,NA
"334","12","AHTA VALLEY CREEK","5","2011",NA,NA,NA,NA
"335","12","AHTA VALLEY CREEK","5","2012",NA,NA,NA,NA
"336","12","AHTA VALLEY CREEK","5","2013",NA,NA,NA,NA
"337","12","AHTA VALLEY CREEK","5","2014",NA,NA,NA,NA
"338","12","AHTA VALLEY CREEK","5","2015",NA,NA,NA,NA
"339","12","AHTA VALLEY CREEK","5","2016",NA,NA,NA,NA
"340","12","AHTA VALLEY CREEK","5","2017",NA,NA,NA,NA
"341","12","ALLARDYCE CREEK","6","1950",NA,NA,NA,NA
"342","12","ALLARDYCE CREEK","6","1951",NA,NA,28.3599137931034,NA
"343","12","ALLARDYCE CREEK","6","1952",NA,NA,27.9781976744186,NA
"344","12","ALLARDYCE CREEK","6","1953",25,NA,NA,NA
"345","12","ALLARDYCE CREEK","6","1954",25,28.735632183908,NA,NA
"346","12","ALLARDYCE CREEK","6","1955",25,28.4090909090909,NA,NA
"347","12","ALLARDYCE CREEK","6","1956",25,27.7777777777778,NA,NA
"348","12","ALLARDYCE CREEK","6","1957",25,29.0697674418605,NA,NA
"349","12","ALLARDYCE CREEK","6","1958",NA,NA,NA,NA
"350","12","ALLARDYCE CREEK","6","1959",NA,NA,NA,NA
"351","12","ALLARDYCE CREEK","6","1960",NA,NA,NA,NA
"352","12","ALLARDYCE CREEK","6","1961",NA,NA,NA,NA
"353","12","ALLARDYCE CREEK","6","1962",NA,NA,NA,NA
"354","12","ALLARDYCE CREEK","6","1963",NA,NA,NA,NA
"355","12","ALLARDYCE CREEK","6","1964",NA,NA,NA,NA
"356","12","ALLARDYCE CREEK","6","1965",NA,NA,NA,NA
