"","Yr","Area","River","Spawners","Returns","Recruits","Expl","Survival"
"48",1997,12,"ADAM RIVER",100,NA,1250.74770188946,0.272777956656083,2.52632662699253
"49",1998,12,"ADAM RIVER",600,619,NA,0.000583078137170725,NA
"50",1999,12,"ADAM RIVER",NA,NA,1129.8443232111,0.00581807086852831,NA
"51",2000,12,"ADAM RIVER",1200,1250.74770188946,950.464718572553,0.000108918915671366,-0.233125793344994
"52",2001,12,"ADAM RIVER",NA,NA,1568.60267175869,6.58172515066211e-05,NA
"53",2002,12,"ADAM RIVER",1084,1129.8443232111,1837.14325880573,0.000110894640181671,0.527553885371217
"54",2003,12,"ADAM RIVER",912,950.464718572553,1972.94936382693,0,0.771644851060875
"55",2004,12,"ADAM RIVER",1505,1568.60267175869,2084.35245300999,8.1251212286391e-05,0.325665334715873
"56",2005,12,"ADAM RIVER",1760,1837.14325880573,1912.44633506117,0.00158566847902736,0.083069417176067
"57",2006,12,"ADAM RIVER",1893,1972.94936382693,5688.49324075111,5.56360213756606e-05,1.1002825325393
"58",2007,12,"ADAM RIVER",2000,2084.35245300999,2972.63136067141,0,0.396300360030071
"59",2008,12,"ADAM RIVER",1835,1912.44633506117,4904.69336617393,2.769197939731e-05,0.983148095015176
"60",2009,12,"ADAM RIVER",5458,5688.49324075111,3176.79737553291,5.19287752240718e-05,-0.54120884758703
"61",2010,12,"ADAM RIVER",2827,2972.63136067141,1187.8170768487,0.00888074071042353,-0.867098845343056
"62",2011,12,"ADAM RIVER",4639,4904.69336617393,787.553939096858,0.0142797614832157,-1.77332224230632
"63",2012,12,"ADAM RIVER",3048,3176.79737553291,1721.04155282796,7.68815624118097e-05,-0.571555976303115
"64",2013,12,"ADAM RIVER",1121,1187.8170768487,484.552420063534,0.0164482623776054,-0.838750803448323
"65",2014,12,"ADAM RIVER",747,787.553939096858,2612.14617200027,0.0114891151557245,1.25186226541297
"66",2015,12,"ADAM RIVER",1629,1721.04155282796,NA,0.0135595098287899,NA
"67",2016,12,"ADAM RIVER",464,484.552420063534,NA,0.00202795595384339,NA
"68",2017,12,"ADAM RIVER",2497,2612.14617200027,NA,0.00376400621171083,NA
"69",1950,12,"AHNUHATI RIVER",NA,NA,NA,NA,NA
"70",1951,12,"AHNUHATI RIVER",NA,NA,NA,NA,NA
"71",1952,12,"AHNUHATI RIVER",NA,NA,NA,NA,NA
"72",1953,12,"AHNUHATI RIVER",15000,NA,NA,NA,NA
"73",1954,12,"AHNUHATI RIVER",400,NA,NA,NA,NA
"74",1955,12,"AHNUHATI RIVER",15000,NA,NA,NA,NA
"75",1956,12,"AHNUHATI RIVER",15000,NA,NA,NA,NA
"76",1957,12,"AHNUHATI RIVER",750,NA,NA,NA,NA
"77",1958,12,"AHNUHATI RIVER",15000,NA,NA,NA,NA
"78",1959,12,"AHNUHATI RIVER",7500,NA,NA,NA,NA
"79",1960,12,"AHNUHATI RIVER",750,NA,NA,NA,NA
"80",1961,12,"AHNUHATI RIVER",750,NA,NA,NA,NA
"81",1962,12,"AHNUHATI RIVER",7500,NA,NA,NA,NA
"82",1963,12,"AHNUHATI RIVER",400,NA,NA,NA,NA
"83",1964,12,"AHNUHATI RIVER",750,NA,NA,NA,NA
"84",1965,12,"AHNUHATI RIVER",3500,NA,NA,NA,NA
"85",1966,12,"AHNUHATI RIVER",1500,NA,NA,NA,NA
"86",1967,12,"AHNUHATI RIVER",75,NA,NA,NA,NA
"87",1968,12,"AHNUHATI RIVER",750,NA,NA,NA,NA
"88",1969,12,"AHNUHATI RIVER",NA,NA,NA,NA,NA
"89",1970,12,"AHNUHATI RIVER",400,NA,NA,NA,NA
"90",1971,12,"AHNUHATI RIVER",25,NA,NA,NA,NA
"91",1972,12,"AHNUHATI RIVER",400,NA,1111,NA,1.02155124253165
"92",1973,12,"AHNUHATI RIVER",400,NA,5000,NA,2.52572864430826
"93",1974,12,"AHNUHATI RIVER",400,NA,1818,NA,1.51402772762944
"94",1975,12,"AHNUHATI RIVER",400,1111,2083,NA,1.65009989415299
"95",1976,12,"AHNUHATI RIVER",400,5000,1607,NA,1.39065981862953
"96",1977,12,"AHNUHATI RIVER",400,1818,1000,NA,0.916290731874155
"97",1978,12,"AHNUHATI RIVER",500,2083,7778,NA,2.7444464162935
"98",1979,12,"AHNUHATI RIVER",450,1607,NA,NA,NA
"99",1980,12,"AHNUHATI RIVER",200,1000,4810,NA,3.18013499655177
"100",1981,12,"AHNUHATI RIVER",2100,7778,1613,NA,-0.263841545586306
"101",1982,12,"AHNUHATI RIVER",NA,NA,NA,NA,NA
"102",1983,12,"AHNUHATI RIVER",1010,4810,345,0.866057834110302,-1.07416119280395
"103",1984,12,"AHNUHATI RIVER",500,1613,375,0.775693911882616,-0.287682072451781
"104",1985,12,"AHNUHATI RIVER",1500,NA,800,0.804617873469269,-0.628608659422374
"105",1986,12,"AHNUHATI RIVER",100,345,606,0.736636297568,1.80170980008122
"106",1987,12,"AHNUHATI RIVER",75,375,NA,0.620278215303934,NA
"107",1988,12,"AHNUHATI RIVER",100,800,3750,0.662968422357177,3.62434093297637
"108",1989,12,"AHNUHATI RIVER",200,606,900,0.758563000132309,1.50407739677627
"109",1990,12,"AHNUHATI RIVER",NA,NA,NA,0.551771761004763,NA
"110",1991,12,"AHNUHATI RIVER",1200,3750,5000,0.610236891943533,1.42711635564015
"111",1992,12,"AHNUHATI RIVER",207,900,524,0.846200576578609,0.928772891055673
"112",1993,12,"AHNUHATI RIVER",1370,NA,NA,0.870616228783584,NA
"113",1994,12,"AHNUHATI RIVER",1300,5000,1930,0.688336172661556,0.395155738449303
"114",1995,12,"AHNUHATI RIVER",420,524,2680,0.41545900740463,1.85331736222749
"115",1996,12,"AHNUHATI RIVER",NA,NA,NA,0.154973827940401,NA
"116",1997,12,"AHNUHATI RIVER",1100,1930,6253.7385094473,0.272777956656083,1.73786926662826
"117",1998,12,"AHNUHATI RIVER",2600,2680,4690.10170887623,0.000583078137170725,0.589942823523161
"118",1999,12,"AHNUHATI RIVER",1700,NA,2799.59580456181,0.00581807086852831,0.498846800185089
"119",2000,12,"AHNUHATI RIVER",6000,6253.7385094473,2443.90325115421,0.000108918915671366,-0.898163014973046
"120",2001,12,"AHNUHATI RIVER",4500,4690.10170887623,3464.4752697182,6.58172515066211e-05,-0.261516212912961
"121",2002,12,"AHNUHATI RIVER",2686,2799.59580456181,854.897914182895,0.000110894640181671,-1.1448263138915
"122",2003,12,"AHNUHATI RIVER",2345,2443.90325115421,714.972669617155,0,-1.18779636322861
"123",2004,12,"AHNUHATI RIVER",3324,3464.4752697182,104.217622650499,8.1251212286391e-05,-3.46244291763048
"124",2005,12,"AHNUHATI RIVER",819,854.897914182895,1071.38682966915,0.00158566847902736,0.268625106881635
"125",2006,12,"AHNUHATI RIVER",686,714.972669617155,1711.34223182729,5.56360213756606e-05,0.914155644766824
"126",2007,12,"AHNUHATI RIVER",100,104.217622650499,2167.17128912054,0,3.07600785678093
"127",2008,12,"AHNUHATI RIVER",1028,1071.38682966915,528.636922415815,2.769197939731e-05,-0.665068596840816
"128",2009,12,"AHNUHATI RIVER",1642,1711.34223182729,521.128178401069,5.19287752240718e-05,-1.14767425471546
"129",2010,12,"AHNUHATI RIVER",2061,2167.17128912054,3773.252997911,0.00888074071042353,0.604746191665693
"130",2011,12,"AHNUHATI RIVER",500,528.636922415815,2074.84089978931,0.0142797614832157,1.42303165650261
"131",2012,12,"AHNUHATI RIVER",500,521.128178401069,NA,7.68815624118097e-05,NA
"132",2013,12,"AHNUHATI RIVER",3561,3773.252997911,NA,0.0164482623776054,NA
"133",2014,12,"AHNUHATI RIVER",1968,2074.84089978931,NA,0.0114891151557245,NA
"134",2015,12,"AHNUHATI RIVER",NA,NA,NA,0.0135595098287899,NA
"135",2016,12,"AHNUHATI RIVER",NA,NA,NA,0.00202795595384339,NA
"136",2017,12,"AHNUHATI RIVER",NA,NA,NA,0.00376400621171083,NA
"137",1950,12,"AHTA RIVER",NA,NA,NA,NA,NA
"138",1951,12,"AHTA RIVER",NA,NA,NA,NA,NA
"139",1952,12,"AHTA RIVER",NA,NA,NA,NA,NA
"140",1953,12,"AHTA RIVER",400,NA,NA,NA,NA
"141",1954,12,"AHTA RIVER",1500,NA,NA,NA,NA
"142",1955,12,"AHTA RIVER",1500,NA,NA,NA,NA
"143",1956,12,"AHTA RIVER",400,NA,NA,NA,NA
"144",1957,12,"AHTA RIVER",3500,NA,NA,NA,NA
"145",1958,12,"AHTA RIVER",1500,NA,NA,NA,NA
"146",1959,12,"AHTA RIVER",400,NA,NA,NA,NA
"147",1960,12,"AHTA RIVER",750,NA,NA,NA,NA
"148",1961,12,"AHTA RIVER",750,NA,NA,NA,NA
"149",1962,12,"AHTA RIVER",750,NA,NA,NA,NA
"150",1963,12,"AHTA RIVER",400,NA,NA,NA,NA
"151",1964,12,"AHTA RIVER",200,NA,NA,NA,NA
"152",1965,12,"AHTA RIVER",400,NA,NA,NA,NA
"153",1966,12,"AHTA RIVER",400,NA,NA,NA,NA
"154",1967,12,"AHTA RIVER",200,NA,NA,NA,NA
"155",1968,12,"AHTA RIVER",200,NA,NA,NA,NA
"156",1969,12,"AHTA RIVER",NA,NA,NA,NA,NA
"157",1970,12,"AHTA RIVER",NA,NA,NA,NA,NA
"158",1971,12,"AHTA RIVER",25,NA,NA,NA,NA
"159",1972,12,"AHTA RIVER",200,NA,111,NA,-0.588787165235702
"160",1973,12,"AHTA RIVER",200,NA,313,NA,0.447885823992117
"161",1974,12,"AHTA RIVER",400,NA,114,NA,-1.25526609871349
"162",1975,12,"AHTA RIVER",40,111,1042,NA,3.26001776819938
"163",1976,12,"AHTA RIVER",25,313,2143,NA,4.45108617060538
"164",1977,12,"AHTA RIVER",25,114,2500,NA,4.60517018598809
"165",1978,12,"AHTA RIVER",250,1042,741,NA,1.08653970743384
"166",1979,12,"AHTA RIVER",600,2143,NA,NA,NA
"167",1980,12,"AHTA RIVER",500,2500,NA,NA,NA
"168",1981,12,"AHTA RIVER",200,741,NA,NA,NA
"169",1982,12,"AHTA RIVER",NA,NA,NA,NA,NA
"170",1983,12,"AHTA RIVER",NA,NA,NA,0.866057834110302,NA
"171",1984,12,"AHTA RIVER",NA,NA,NA,0.775693911882616,NA
"172",1985,12,"AHTA RIVER",300,NA,300,0.804617873469269,0
"173",1986,12,"AHTA RIVER",100,NA,121,0.736636297568,0.19062035960865
"174",1987,12,"AHTA RIVER",100,NA,1538,0.620278215303934,2.7330679640775
"175",1988,12,"AHTA RIVER",75,300,1563,0.662968422357177,3.03687421688517
"176",1989,12,"AHTA RIVER",40,121,783,0.758563000132309,2.97425324187687
"177",1990,12,"AHTA RIVER",400,1538,5980,0.551771761004763,2.7047112998367
"178",1991,12,"AHTA RIVER",500,1563,1731,0.610236891943533,1.24184645675402
"179",1992,12,"AHTA RIVER",180,783,2429,0.846200576578609,2.60227807811196
"180",1993,12,"AHTA RIVER",125,5980,921,0.870616228783584,1.99714629895301
"181",1994,12,"AHTA RIVER",450,1731,54,0.688336172661556,-2.12026353620009
"182",1995,12,"AHTA RIVER",600,2429,309,0.41545900740463,-0.663588378318401
"183",1996,12,"AHTA RIVER",396,921,309,0.154973827940401,-0.248072934356735
"184",1997,12,"AHTA RIVER",31,54,416.91590062982,0.272777956656083,2.59889731982737
"185",1998,12,"AHTA RIVER",300,309,416.897929677887,0.000583078137170725,0.329058944226105
"186",1999,12,"AHTA RIVER",300,309,86.5102203196688,0.00581807086852831,-1.24351991371339
"187",2000,12,"AHTA RIVER",400,416.91590062982,27.0965818891298,0.000108918915671366,-2.69205695672973
"188",2001,12,"AHTA RIVER",400,416.897929677887,462.7638446916,6.58172515066211e-05,0.145752322194354
"189",2002,12,"AHTA RIVER",83,86.5102203196688,351.771180805416,0.000110894640181671,1.44414030189438
"190",2003,12,"AHTA RIVER",26,27.0965818891298,36.4781974294467,0,0.338618213393815
"191",2004,12,"AHTA RIVER",444,462.7638446916,17.7169958505849,8.1251212286391e-05,-3.22130016601924
"192",2005,12,"AHTA RIVER",337,351.771180805416,42.7304085762986,0.00158566847902736,-2.06517211892846
"193",2006,12,"AHTA RIVER",35,36.4781974294467,53.1537477607744,5.56360213756606e-05,0.417840553715248
"194",2007,12,"AHTA RIVER",17,17.7169958505849,91.481757473793,0,1.68292623647693
"195",2008,12,"AHTA RIVER",41,42.7304085762986,949.431912658804,2.769197939731e-05,3.14229175234999
"196",2009,12,"AHTA RIVER",51,53.1537477607744,1112.08753270788,5.19287752240718e-05,3.08216855545214
"197",2010,12,"AHTA RIVER",87,91.481757473793,3162.92058375859,0.00888074071042353,3.59334299645049
"198",2011,12,"AHTA RIVER",898,949.431912658804,1777.53138061218,0.0142797614832157,0.682810747572207
"199",2012,12,"AHTA RIVER",1067,1112.08753270788,2970.88326982948,7.68815624118097e-05,1.02400833353018
"200",2013,12,"AHTA RIVER",2985,3162.92058375859,101.296518849489,0.0164482623776054,-3.38330297992574
"201",2014,12,"AHTA RIVER",1686,1777.53138061218,310.695800193865,0.0114891151557245,-1.69129983949309
"202",2015,12,"AHTA RIVER",2812,2970.88326982948,NA,0.0135595098287899,NA
"203",2016,12,"AHTA RIVER",97,101.296518849489,NA,0.00202795595384339,NA
"204",2017,12,"AHTA RIVER",297,310.695800193865,NA,0.00376400621171083,NA
"205",1950,12,"AHTA VALLEY CREEK",NA,NA,NA,NA,NA
"206",1951,12,"AHTA VALLEY CREEK",NA,NA,NA,NA,NA
"207",1952,12,"AHTA VALLEY CREEK",NA,NA,NA,NA,NA
"208",1953,12,"AHTA VALLEY CREEK",3500,NA,NA,NA,NA
"209",1954,12,"AHTA VALLEY CREEK",750,NA,NA,NA,NA
"210",1955,12,"AHTA VALLEY CREEK",3500,NA,NA,NA,NA
"211",1956,12,"AHTA VALLEY CREEK",3500,NA,NA,NA,NA
"212",1957,12,"AHTA VALLEY CREEK",3500,NA,NA,NA,NA
"213",1958,12,"AHTA VALLEY CREEK",1500,NA,NA,NA,NA
"214",1959,12,"AHTA VALLEY CREEK",NA,NA,NA,NA,NA
"215",1960,12,"AHTA VALLEY CREEK",NA,NA,NA,NA,NA
"216",1961,12,"AHTA VALLEY CREEK",1500,NA,NA,NA,NA
"217",1962,12,"AHTA VALLEY CREEK",3500,NA,NA,NA,NA
"218",1963,12,"AHTA VALLEY CREEK",750,NA,NA,NA,NA
"219",1964,12,"AHTA VALLEY CREEK",750,NA,NA,NA,NA
"220",1965,12,"AHTA VALLEY CREEK",750,NA,NA,NA,NA
"221",1966,12,"AHTA VALLEY CREEK",750,NA,NA,NA,NA
"222",1967,12,"AHTA VALLEY CREEK",75,NA,NA,NA,NA
"223",1968,12,"AHTA VALLEY CREEK",75,NA,NA,NA,NA
"224",1969,12,"AHTA VALLEY CREEK",NA,NA,NA,NA,NA
"225",1970,12,"AHTA VALLEY CREEK",25,NA,NA,NA,NA
"226",1971,12,"AHTA VALLEY CREEK",1500,NA,NA,NA,NA
"227",1972,12,"AHTA VALLEY CREEK",75,NA,4167,NA,4.01746351788614
"228",1973,12,"AHTA VALLEY CREEK",75,NA,5000,NA,4.19970507787993
"229",1974,12,"AHTA VALLEY CREEK",200,NA,1818,NA,2.20717490818939
"230",1975,12,"AHTA VALLEY CREEK",1500,4167,1458,NA,-0.028399474521698
"231",1976,12,"AHTA VALLEY CREEK",400,5000,714,NA,0.579418415231602
"232",1977,12,"AHTA VALLEY CREEK",400,1818,3000,NA,2.01490302054226
"233",1978,12,"AHTA VALLEY CREEK",350,1458,370,NA,0.0555698511548108
"234",1979,12,"AHTA VALLEY CREEK",200,714,NA,NA,NA
"235",1980,12,"AHTA VALLEY CREEK",600,3000,NA,NA,NA
"236",1981,12,"AHTA VALLEY CREEK",100,370,NA,NA,NA
"237",1982,12,"AHTA VALLEY CREEK",NA,NA,NA,NA,NA
"238",1983,12,"AHTA VALLEY CREEK",NA,NA,NA,0.866057834110302,NA
"239",1984,12,"AHTA VALLEY CREEK",NA,NA,NA,0.775693911882616,NA
"240",1985,12,"AHTA VALLEY CREEK",NA,NA,NA,0.804617873469269,NA
"241",1986,12,"AHTA VALLEY CREEK",NA,NA,NA,0.736636297568,NA
"242",1987,12,"AHTA VALLEY CREEK",NA,NA,NA,0.620278215303934,NA
"243",1988,12,"AHTA VALLEY CREEK",NA,NA,NA,0.662968422357177,NA
"244",1989,12,"AHTA VALLEY CREEK",NA,NA,NA,0.758563000132309,NA
"245",1990,12,"AHTA VALLEY CREEK",NA,NA,NA,0.551771761004763,NA
"246",1991,12,"AHTA VALLEY CREEK",NA,NA,NA,0.610236891943533,NA
"247",1992,12,"AHTA VALLEY CREEK",NA,NA,NA,0.846200576578609,NA
"248",1993,12,"AHTA VALLEY CREEK",NA,NA,NA,0.870616228783584,NA
"249",1994,12,"AHTA VALLEY CREEK",NA,NA,NA,0.688336172661556,NA
"250",1995,12,"AHTA VALLEY CREEK",NA,NA,NA,0.41545900740463,NA
"251",1996,12,"AHTA VALLEY CREEK",4,NA,NA,0.154973827940401,NA
"252",1997,12,"AHTA VALLEY CREEK",50,NA,NA,0.272777956656083,NA
"253",1998,12,"AHTA VALLEY CREEK",NA,NA,NA,0.000583078137170725,NA
"254",1999,12,"AHTA VALLEY CREEK",NA,NA,NA,0.00581807086852831,NA
"255",2000,12,"AHTA VALLEY CREEK",NA,NA,NA,0.000108918915671366,NA
"256",2001,12,"AHTA VALLEY CREEK",NA,NA,NA,6.58172515066211e-05,NA
"257",2002,12,"AHTA VALLEY CREEK",NA,NA,NA,0.000110894640181671,NA
"258",2003,12,"AHTA VALLEY CREEK",NA,NA,NA,0,NA
"259",2004,12,"AHTA VALLEY CREEK",NA,NA,NA,8.1251212286391e-05,NA
"260",2005,12,"AHTA VALLEY CREEK",NA,NA,NA,0.00158566847902736,NA
"261",2006,12,"AHTA VALLEY CREEK",NA,NA,NA,5.56360213756606e-05,NA
"262",2007,12,"AHTA VALLEY CREEK",NA,NA,NA,0,NA
"263",2008,12,"AHTA VALLEY CREEK",NA,NA,NA,2.769197939731e-05,NA
"264",2009,12,"AHTA VALLEY CREEK",NA,NA,NA,5.19287752240718e-05,NA
"265",2010,12,"AHTA VALLEY CREEK",NA,NA,NA,0.00888074071042353,NA
"266",2011,12,"AHTA VALLEY CREEK",NA,NA,NA,0.0142797614832157,NA
"267",2012,12,"AHTA VALLEY CREEK",NA,NA,NA,7.68815624118097e-05,NA
"268",2013,12,"AHTA VALLEY CREEK",NA,NA,NA,0.0164482623776054,NA
"269",2014,12,"AHTA VALLEY CREEK",NA,NA,NA,0.0114891151557245,NA
"270",2015,12,"AHTA VALLEY CREEK",NA,NA,NA,0.0135595098287899,NA
"271",2016,12,"AHTA VALLEY CREEK",NA,NA,NA,0.00202795595384339,NA
"272",2017,12,"AHTA VALLEY CREEK",NA,NA,NA,0.00376400621171083,NA
"273",1950,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"274",1951,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"275",1952,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"276",1953,12,"ALLARDYCE CREEK",1500,NA,NA,NA,NA
"277",1954,12,"ALLARDYCE CREEK",400,NA,NA,NA,NA
"278",1955,12,"ALLARDYCE CREEK",1500,NA,NA,NA,NA
"279",1956,12,"ALLARDYCE CREEK",1500,NA,NA,NA,NA
"280",1957,12,"ALLARDYCE CREEK",400,NA,NA,NA,NA
"281",1958,12,"ALLARDYCE CREEK",750,NA,NA,NA,NA
"282",1959,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"283",1960,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"284",1961,12,"ALLARDYCE CREEK",75,NA,NA,NA,NA
"285",1962,12,"ALLARDYCE CREEK",75,NA,NA,NA,NA
"286",1963,12,"ALLARDYCE CREEK",200,NA,NA,NA,NA
"287",1964,12,"ALLARDYCE CREEK",75,NA,NA,NA,NA
"288",1965,12,"ALLARDYCE CREEK",200,NA,NA,NA,NA
"289",1966,12,"ALLARDYCE CREEK",200,NA,NA,NA,NA
"290",1967,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"291",1968,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"292",1969,12,"ALLARDYCE CREEK",25,NA,NA,NA,NA
"293",1970,12,"ALLARDYCE CREEK",25,NA,NA,NA,NA
"294",1971,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"295",1972,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"296",1973,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"297",1974,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"298",1975,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"299",1976,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"300",1977,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"301",1978,12,"ALLARDYCE CREEK",30,NA,NA,NA,NA
"302",1979,12,"ALLARDYCE CREEK",38,NA,NA,NA,NA
"303",1980,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"304",1981,12,"ALLARDYCE CREEK",25,NA,NA,NA,NA
"305",1982,12,"ALLARDYCE CREEK",NA,NA,NA,NA,NA
"306",1983,12,"ALLARDYCE CREEK",40,NA,NA,0.866057834110302,NA
"307",1984,12,"ALLARDYCE CREEK",40,NA,NA,0.775693911882616,NA
"308",1985,12,"ALLARDYCE CREEK",50,NA,NA,0.804617873469269,NA
"309",1986,12,"ALLARDYCE CREEK",NA,NA,NA,0.736636297568,NA
"310",1987,12,"ALLARDYCE CREEK",NA,NA,NA,0.620278215303934,NA
"311",1988,12,"ALLARDYCE CREEK",NA,NA,NA,0.662968422357177,NA
"312",1989,12,"ALLARDYCE CREEK",100,NA,NA,0.758563000132309,NA
"313",1990,12,"ALLARDYCE CREEK",NA,NA,NA,0.551771761004763,NA
"314",1991,12,"ALLARDYCE CREEK",NA,NA,NA,0.610236891943533,NA
"315",1992,12,"ALLARDYCE CREEK",200,NA,NA,0.846200576578609,NA
"316",1993,12,"ALLARDYCE CREEK",NA,NA,NA,0.870616228783584,NA
"317",1994,12,"ALLARDYCE CREEK",200,NA,NA,0.688336172661556,NA
"318",1995,12,"ALLARDYCE CREEK",NA,NA,NA,0.41545900740463,NA
"319",1996,12,"ALLARDYCE CREEK",200,NA,NA,0.154973827940401,NA
"320",1997,12,"ALLARDYCE CREEK",NA,NA,NA,0.272777956656083,NA
"321",1998,12,"ALLARDYCE CREEK",250,NA,NA,0.000583078137170725,NA
"322",1999,12,"ALLARDYCE CREEK",NA,NA,NA,0.00581807086852831,NA
"323",2000,12,"ALLARDYCE CREEK",NA,NA,NA,0.000108918915671366,NA
"324",2001,12,"ALLARDYCE CREEK",NA,NA,NA,6.58172515066211e-05,NA
"325",2002,12,"ALLARDYCE CREEK",NA,NA,NA,0.000110894640181671,NA
"326",2003,12,"ALLARDYCE CREEK",NA,NA,NA,0,NA
"327",2004,12,"ALLARDYCE CREEK",NA,NA,NA,8.1251212286391e-05,NA
"328",2005,12,"ALLARDYCE CREEK",NA,NA,NA,0.00158566847902736,NA
"329",2006,12,"ALLARDYCE CREEK",NA,NA,NA,5.56360213756606e-05,NA
"330",2007,12,"ALLARDYCE CREEK",NA,NA,NA,0,NA
"331",2008,12,"ALLARDYCE CREEK",NA,NA,NA,2.769197939731e-05,NA
"332",2009,12,"ALLARDYCE CREEK",NA,NA,NA,5.19287752240718e-05,NA
"333",2010,12,"ALLARDYCE CREEK",NA,NA,NA,0.00888074071042353,NA
"334",2011,12,"ALLARDYCE CREEK",NA,NA,NA,0.0142797614832157,NA
"335",2012,12,"ALLARDYCE CREEK",NA,NA,NA,7.68815624118097e-05,NA
"336",2013,12,"ALLARDYCE CREEK",NA,NA,NA,0.0164482623776054,NA
"337",2014,12,"ALLARDYCE CREEK",NA,NA,NA,0.0114891151557245,NA
"338",2015,12,"ALLARDYCE CREEK",NA,NA,NA,0.0135595098287899,NA
"339",2016,12,"ALLARDYCE CREEK",NA,NA,NA,0.00202795595384339,NA
"340",2017,12,"ALLARDYCE CREEK",NA,NA,NA,0.00376400621171083,NA
"341",1950,12,"BLIND CREEK",NA,NA,NA,NA,NA
"342",1951,12,"BLIND CREEK",NA,NA,NA,NA,NA
"343",1952,12,"BLIND CREEK",NA,NA,NA,NA,NA
