,ANALYSIS_YR,AREA,WATERBODY,SPECIES,POPULATION,POP_ID,ESTIMATE_CLASSIFICATION,ESTIMATE_METHOD,MAX_ESTIMATE,GFE_ID,RUN_TYPE
2111,1959,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,3500,1119,1
4584,1959,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,750,1119,1
6264,1959,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,750,1119,1
8501,1959,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,15000,1119,1
8916,1959,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,75,1119,1
2602,1960,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,750,1119,1
7767,1960,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,1500,1119,1
10782,1960,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,200,1119,1
16129,1960,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,75,1119,1
17430,1960,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,7500,1119,1
138,1961,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,50000,1119,1
3811,1961,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
8103,1961,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,750,1119,1
13618,1961,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,75,1119,1
15732,1961,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,750,1119,1
7777,1962,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,400,1119,1
8592,1962,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,1500,1119,1
10201,1962,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,3500,1119,1
10787,1962,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,3500,1119,1
16986,1962,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,400,1119,1
449,1963,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,1500,1119,1
1106,1963,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,1500,1119,1
6043,1963,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,130000,1119,1
7182,1963,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,400,1119,1
10023,1963,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,400,1119,1
2901,1964,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,3500,1119,1
3805,1964,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,200,1119,1
7659,1964,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,750,1119,1
12028,1964,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,200,1119,1
15987,1964,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,750,1119,1
345,1965,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,200,1119,1
2656,1965,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,75000,1119,1
3843,1965,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,200,1119,1
6311,1965,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,1500,1119,1
6886,1965,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
3265,1966,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,1500,1119,1
4741,1966,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
8205,1966,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,35000,1119,1
10576,1966,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,400,1119,1
16433,1966,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,1500,1119,1
723,1967,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,25,1119,1
936,1967,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,750,1119,1
1431,1967,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,200,1119,1
8017,1967,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,3500,1119,1
15397,1967,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,25,1119,1
4863,1968,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
7395,1968,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
13096,1968,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,35000,1119,1
13164,1968,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,400,1119,1
16979,1968,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
861,1969,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
2695,1969,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
3558,1969,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,6500,1119,1
12725,1969,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Not Applicable,NA,1119,1
3236,1970,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,1500,1119,1
13428,1970,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
15383,1970,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
17116,1970,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,15000,1119,1
4426,1971,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,50000,1119,1
3172,1972,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,400,1119,1
5422,1972,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,750,1119,1
13991,1972,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,50000,1119,1
1247,1973,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
5767,1973,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,60000,1119,1
6040,1973,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,750,1119,1
12603,1974,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,1500,1119,1
13111,1974,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,60000,1119,1
1759,1975,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,70000,1119,1
11322,1975,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,750,1119,1
3455,1976,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,1500,1119,1
4069,1976,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,55000,1119,1
1729,1977,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,750,1119,1
13728,1977,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,4000,1119,1
6034,1978,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,750,1119,1
10041,1978,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,50000,1119,1
3736,1979,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,300,1119,1
4143,1979,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,50,1119,1
17389,1979,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,5000,1119,1
5267,1980,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,20000,1119,1
7426,1980,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,300,1119,1
13417,1980,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,25,1119,1
14140,1980,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,250,1119,1
2934,1981,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Not Applicable,NA,1119,1
3507,1981,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
5459,1981,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,10000,1119,1
16217,1981,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,25,1119,1
1104,1982,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,87,1119,1
8947,1982,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,12,1119,1
9151,1982,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,4750,1119,1
11671,1982,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
12196,1982,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
5418,1983,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
8953,1983,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,12,1119,1
10815,1983,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
13131,1983,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
17379,1983,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,15000,1119,1
1132,1984,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
1487,1984,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
3705,1984,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
7364,1984,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,4000,1119,1
17142,1984,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,15,1119,1
1251,1985,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,65,1119,1
2008,1985,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Unknown Estimate Method,25,1119,1
4080,1985,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
12509,1985,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
15337,1985,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,20000,1119,1
1148,1986,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,1,1119,1
2273,1986,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
3552,1986,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
11174,1986,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,15,1119,1
14821,1986,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,35000,1119,1
4673,1987,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Not Applicable,NA,1119,1
7085,1987,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,50000,1119,1
15544,1987,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
17103,1987,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
17729,1987,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
132,1988,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,55000,1119,1
2642,1988,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
5924,1988,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Not Applicable,NA,1119,1
7432,1988,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
9737,1988,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
3732,1989,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,25000,1119,1
7069,1989,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
11971,1989,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
12592,1989,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,20,1119,1
15578,1989,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Not Applicable,NA,1119,1
11750,1990,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,250000,1119,1
11956,1990,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
12611,1990,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
13966,1990,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
16224,1990,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Not Applicable,NA,1119,1
14577,1991,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,1100,1119,1
15280,1991,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
17381,1991,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Not Applicable,NA,1119,1
11351,1992,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,10000,1119,1
12724,1992,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,50,1119,1
2886,1993,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Not Applicable,NA,1119,1
9117,1993,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Not Applicable,NA,1119,1
15298,1993,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
15877,1993,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
16544,1993,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
4718,1994,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,35000,1119,1
13938,1994,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,1250,1119,1
16499,1994,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,25,1119,1
7256,1995,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Unknown Estimate Method,150,1119,1
7257,1995,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,40,1119,1
11251,1995,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,6000,1119,1
12924,1995,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
15777,1995,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
760,1996,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
1043,1996,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,72000,1119,1
5062,1996,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
8420,1996,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Not Applicable,NA,1119,1
18100,1996,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
747,1997,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,RELATIVE ABUNDANCE (TYPE-5),Expert Opinion,1500,1119,1
2445,1997,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,100,1119,1
3591,1997,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Not Applicable,NA,1119,1
10647,1997,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
14898,1997,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,200,1119,1
228,1998,12,ADAM RIVER,Chum,Adam River (Alert Bay) Chum Run 1,52696,UNKNOWN,Not Applicable,NA,1119,1
1319,1998,12,ADAM RIVER,Chinook,Adam River (Alert Bay) Chinook Run 1,52698,UNKNOWN,Unknown Estimate Method,NA,1119,1
5057,1998,12,ADAM RIVER,Sockeye,Adam River (Alert Bay) Sockeye Run 1,52690,UNKNOWN,Not Applicable,NA,1119,1
12378,1998,12,ADAM RIVER,Pink,Adam River (Alert Bay) Pink Run 1,52694,UNKNOWN,Unknown Estimate Method,75000,1119,1
12922,1998,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Unknown Estimate Method,600,1119,1
5061,1999,12,ADAM RIVER,Coho,Adam River (Alert Bay) Coho Run 1,52692,UNKNOWN,Not Applicable,NA,1119,1
